X,Y
182.000,476.000
180.403,475.067
179.022,474.018
177.832,472.839
176.808,471.515
175.923,470.031
175.151,468.373
174.467,466.528
173.852,464.504
173.291,462.318
172.767,459.986
172.265,457.525
171.769,454.953
171.263,452.286
170.731,449.540
170.157,446.733
169.527,443.882
168.843,441.001
168.113,438.106
167.347,435.214
166.555,432.337
165.746,429.494
164.930,426.697
164.116,423.963
163.314,421.308
162.534,418.745
161.783,416.291
161.073,413.952
160.411,411.720
159.804,409.584
159.262,407.534
158.792,405.560
158.403,403.653
158.103,401.803
157.898,399.998
157.784,398.219
157.744,396.435
157.760,394.619
157.815,392.740
157.893,390.770
157.976,388.678
158.048,386.439
158.102,384.062
158.140,381.577
158.161,379.013
158.166,376.402
158.155,373.772
158.129,371.156
158.087,368.583
158.030,366.083
157.959,363.685
157.881,361.395
157.808,359.200
157.755,357.084
157.733,355.034
157.756,353.033
157.836,351.069
157.987,349.126
158.217,347.190
158.507,345.249
158.830,343.290
159.161,341.302
159.474,339.274
159.742,337.192
159.939,335.046
160.040,332.824
160.043,330.527
159.967,328.169
159.834,325.764
159.663,323.325
159.475,320.866
159.291,318.400
159.132,315.943
159.017,313.506
158.964,311.103
158.966,308.727
159.004,306.367
159.062,304.011
159.120,301.645
159.160,299.258
159.164,296.837
159.113,294.369
158.990,291.843
158.790,289.263
158.555,286.692
158.338,284.204
158.189,281.876
158.162,279.780
158.307,277.993
158.677,276.589
159.321,275.639
160.219,275.085
161.272,274.720
162.373,274.328
163.420,273.698
164.353,272.732
165.167,271.476
165.862,269.986
166.438,268.316
166.893,266.523
167.229,264.657
167.461,262.740
167.613,260.774
167.712,258.760
167.780,256.701
167.842,254.598
167.923,252.455
168.047,250.273
168.225,248.056
168.447,245.808
168.700,243.536
168.971,241.244
169.249,238.938
169.522,236.623
169.777,234.305
170.001,231.988
170.187,229.680
170.338,227.383
170.464,225.105
170.571,222.851
170.670,220.625
170.767,218.433
170.870,216.280
170.989,214.172
171.129,212.114
171.285,210.108
171.448,208.157
171.611,206.262
171.763,204.425
171.897,202.648
172.004,200.934
172.077,199.277
172.118,197.644
172.130,195.995
172.115,194.292
172.077,192.496
172.019,190.567
171.944,188.470
171.848,186.208
171.728,183.803
171.580,181.281
171.398,178.664
171.179,175.975
170.918,173.239
170.611,170.480
170.253,167.720
169.839,164.983
169.375,162.289
168.876,159.653
168.360,157.088
167.844,154.608
167.345,152.228
166.881,149.960
166.468,147.820
166.124,145.821
165.865,143.975
165.699,142.271
165.626,140.676
165.646,139.158
165.758,137.684
165.962,136.219
166.260,134.744
166.675,133.309
167.236,131.996
167.972,130.884
168.912,130.053
170.077,129.570
171.435,129.422
172.937,129.571
174.537,129.982
176.186,130.617
177.839,131.440
179.470,132.415
181.077,133.508
182.659,134.685
184.215,135.913
185.742,137.157
187.239,138.384
188.705,139.561
190.130,140.692
191.498,141.818
192.793,142.981
193.998,144.224
195.095,145.591
196.070,147.124
196.913,148.850
197.645,150.742
198.293,152.766
198.882,154.884
199.439,157.062
199.990,159.262
200.561,161.448
201.177,163.586
201.853,165.655
202.582,167.665
203.354,169.628
204.160,171.558
204.989,173.467
205.832,175.368
206.680,177.274
207.522,179.196
208.346,181.139
209.135,183.101
209.875,185.078
210.548,187.068
211.140,189.069
211.634,191.079
212.015,193.094
212.273,195.115
212.421,197.146
212.474,199.196
212.451,201.271
212.369,203.379
212.243,205.526
212.092,207.720
211.931,209.966
211.772,212.253
211.618,214.542
211.472,216.796
211.335,218.975
