X,Y
220.000,429.000
218.726,427.405
217.567,425.750
216.515,424.037
215.560,422.269
214.695,420.449
213.910,418.577
213.196,416.656
212.546,414.688
211.950,412.676
211.401,410.622
210.888,408.527
210.405,406.395
209.948,404.229
209.513,402.033
209.096,399.813
208.692,397.570
208.299,395.311
207.911,393.038
207.526,390.757
207.140,388.470
206.747,386.183
206.345,383.898
205.930,381.621
205.499,379.354
205.057,377.096
204.607,374.847
204.155,372.604
203.705,370.366
203.260,368.133
202.826,365.903
202.407,363.675
202.007,361.448
201.631,359.219
201.283,356.989
200.967,354.756
200.687,352.519
200.439,350.278
200.220,348.033
200.027,345.784
199.856,343.532
199.703,341.277
199.566,339.019
199.440,336.758
199.323,334.494
199.210,332.228
199.098,329.960
198.984,327.690
198.866,325.420
198.745,323.153
198.625,320.895
198.508,318.650
198.397,316.425
198.294,314.222
198.202,312.049
198.124,309.908
198.063,307.806
198.021,305.747
198.001,303.737
198.006,301.779
198.035,299.868
198.086,297.992
198.159,296.139
198.250,294.297
198.359,292.454
198.484,290.597
198.622,288.715
198.772,286.795
198.932,284.825
199.100,282.794
199.272,280.707
199.443,278.581
199.605,276.435
199.754,274.287
199.882,272.155
199.985,270.056
200.056,268.008
200.090,266.031
200.079,264.141
200.019,262.356
199.907,260.693
199.765,259.144
199.629,257.695
199.532,256.329
199.510,255.032
199.596,253.786
199.827,252.577
200.233,251.389
200.813,250.207
201.529,249.019
202.339,247.810
203.206,246.568
204.090,245.278
204.950,243.929
205.748,242.506
206.447,240.997
207.040,239.394
207.540,237.695
207.962,235.896
208.318,233.994
208.624,231.985
208.892,229.867
209.138,227.635
209.373,225.288
209.613,222.822
209.871,220.233
210.161,217.518
210.486,214.685
210.841,211.747
211.221,208.719
211.620,205.615
212.034,202.452
212.457,199.242
212.883,196.001
213.308,192.744
213.726,189.485
214.131,186.239
214.519,183.020
214.885,179.844
215.221,176.725
215.525,173.677
215.790,170.716
216.010,167.856
216.186,165.108
216.332,162.473
216.467,159.945
216.609,157.524
216.777,155.205
216.990,152.985
217.265,150.862
217.622,148.833
218.078,146.893
218.653,145.041
219.365,143.273
220.232,141.586
221.258,139.989
222.419,138.511
223.688,137.185
225.036,136.043
226.437,135.118
227.862,134.442
229.285,134.049
230.678,133.969
232.015,134.231
233.289,134.811
234.499,135.662
235.646,136.737
236.731,137.989
237.754,139.371
238.716,140.835
239.618,142.333
240.459,143.821
241.246,145.280
241.989,146.716
242.698,148.134
243.383,149.541
244.055,150.942
244.723,152.346
245.397,153.756
246.089,155.181
246.800,156.625
247.515,158.094
248.216,159.592
248.883,161.123
249.497,162.694
250.038,164.308
250.489,165.970
250.829,167.684
251.041,169.457
251.116,171.287
251.075,173.166
250.937,175.086
250.723,177.037
250.454,179.009
250.151,180.995
249.834,182.984
249.525,184.968
249.244,186.937
249.012,188.881
248.846,190.795
248.741,192.676
248.690,194.526
248.682,196.347
248.708,198.141
248.759,199.909
248.826,201.653
248.898,203.375
248.967,205.075
249.023,206.756
249.063,208.414
249.087,210.039
249.096,211.623
249.093,213.155
249.078,214.626
249.053,216.027
249.020,217.348
248.980,218.581
248.938,219.736
248.905,220.846
248.889,221.945
248.900,223.066
248.949,224.243
249.043,225.510
249.187,226.879
249.372,228.344
249.591,229.893
249.837,231.516
250.101,233.201
250.377,234.938
250.656,236.716
250.930,238.525
251.193,240.354
251.437,242.197
251.657,244.051
251.846,245.909
251.999,247.769
252.110,249.627
252.171,251.477
252.178,253.317
252.125,255.141
252.005,256.946
251.815,258.729
251.565,260.497
251.267,262.261
250.936,264.030
250.584,265.813
250.224,267.620
249.869,269.462
249.532,271.346
249.227,273.284
248.967,275.285
248.759,277.354
248.598,279.489
248.478,281.685
248.391,283.936
248.330,286.237
248.287,288.585
248.257,290.973
248.230,293.398
248.201,295.853
248.162,298.335
248.106,300.838
248.025,303.357
247.914,305.887
247.771,308.424
247.601,310.962
247.406,313.496
247.190,316.022
246.956,318.535
246.707,321.029
246.446,323.500
246.177,325.942
245.903,328.351
245.626,330.721
245.351,333.049
245.080,335.328
244.816,337.554
244.563,339.730
244.321,341.865
244.093,343.963
243.880,346.034
243.683,348.083
243.506,350.119
243.350,352.148
243.216,354.177
243.106,356.214
243.023,358.266
242.967,360.339
242.940,362.436
242.940,364.554
242.966,366.692
243.017,368.849
243.094,371.021
243.195,373.208
243.318,375.409
243.465,377.620
243.632,379.840
243.821,382.068
244.029,384.302
244.254,386.538
244.486,388.768
244.712,390.984
244.922,393.178
245.104,395.340
245.247,397.461
245.339,399.534
245.369,401.550
245.326,403.499
245.198,405.374
244.974,407.166
244.649,408.872
244.233,410.510
243.741,412.103
243.189,413.671
242.591,415.236
241.961,416.820
241.316,418.444
240.668,420.130
240.034,421.900
239.423,423.764
238.822,425.681
238.210,427.596
237.567,429.453
236.874,431.196
236.109,432.770
235.254,434.119
234.286,435.187
233.188,435.919
231.942,436.267
230.568,436.247
229.097,435.896
227.561,435.253
225.990,434.356
224.417,433.244
222.874,431.955
221.391,430.528
220.000,429.000
