X,Y
212.000,503.000
210.578,502.703
209.302,501.818
208.162,500.447
207.147,498.693
206.248,496.660
205.455,494.451
204.756,492.166
204.146,489.873
203.618,487.585
203.171,485.311
202.798,483.061
202.496,480.844
202.261,478.671
202.090,476.550
201.977,474.492
201.917,472.496
201.897,470.543
201.907,468.613
201.934,466.685
201.966,464.737
201.992,462.750
201.999,460.703
201.980,458.581
201.931,456.391
201.854,454.142
201.747,451.844
201.613,449.506
201.449,447.137
201.256,444.745
201.034,442.342
200.784,439.935
200.514,437.535
200.234,435.155
199.956,432.803
199.688,430.493
199.443,428.234
199.229,426.038
199.059,423.916
198.942,421.878
198.876,419.924
198.854,418.043
198.865,416.225
198.899,414.459
198.947,412.734
198.999,411.040
199.046,409.365
199.082,407.690
199.102,405.998
199.103,404.268
199.079,402.482
199.025,400.621
198.937,398.668
198.820,396.625
198.682,394.507
198.533,392.332
198.383,390.114
198.240,387.869
198.113,385.613
198.013,383.362
197.947,381.130
197.912,378.914
197.902,376.706
197.910,374.499
197.930,372.283
197.956,370.052
197.981,367.796
197.998,365.509
198.002,363.182
197.994,360.819
197.979,358.425
197.961,356.009
197.946,353.576
197.938,351.134
197.942,348.688
197.962,346.247
198.004,343.817
198.070,341.401
198.157,338.998
198.262,336.602
198.380,334.207
198.509,331.810
198.644,329.405
198.781,326.988
198.917,324.553
199.047,322.097
199.174,319.620
199.308,317.136
199.459,314.657
199.638,312.196
199.855,309.766
200.121,307.379
200.445,305.049
200.840,302.788
201.313,300.609
201.855,298.513
202.440,296.493
203.044,294.543
203.642,292.657
204.211,290.829
204.726,289.053
205.161,287.321
205.516,285.622
205.816,283.937
206.088,282.244
206.361,280.523
206.661,278.755
207.017,276.918
207.450,275.006
207.954,273.060
208.520,271.133
209.139,269.275
209.799,267.539
210.493,265.977
211.208,264.640
211.930,263.521
212.630,262.515
213.279,261.506
213.850,260.377
214.315,259.022
214.682,257.428
214.976,255.638
215.224,253.697
215.451,251.647
215.682,249.532
215.945,247.397
216.262,245.280
216.627,243.181
217.026,241.087
217.442,238.984
217.861,236.856
218.267,234.689
218.644,232.470
218.976,230.182
219.252,227.819
219.471,225.403
219.643,222.969
219.772,220.549
219.865,218.178
219.928,215.889
219.969,213.716
219.994,211.692
220.008,209.847
220.016,208.166
220.018,206.599
220.015,205.097
