X	Y
9.770	30.951
9.867	30.917
9.964	30.872
10.060	30.817
10.153	30.752
10.243	30.678
10.329	30.597
10.411	30.509
10.486	30.415
10.554	30.316
10.615	30.213
10.669	30.106
10.716	29.995
10.758	29.880
10.793	29.761
10.823	29.638
10.848	29.512
10.869	29.382
10.885	29.249
10.897	29.112
10.907	28.973
10.914	28.834
10.921	28.696
10.927	28.560
10.934	28.427
10.942	28.299
10.953	28.178
10.967	28.064
10.985	27.959
11.008	27.864
11.034	27.777
11.062	27.694
11.089	27.613
11.114	27.532
11.135	27.446
11.151	27.355
11.159	27.256
11.161	27.150
11.155	27.040
11.143	26.927
11.124	26.813
11.098	26.699
11.064	26.587
11.025	26.478
10.978	26.375
10.926	26.277
10.870	26.182
10.814	26.090
10.757	25.998
10.703	25.906
10.652	25.813
10.608	25.717
10.571	25.617
10.543	25.513
10.522	25.406
10.507	25.295
10.497	25.181
10.492	25.065
10.490	24.947
10.490	24.827
10.492	24.707
10.494	24.585
10.496	24.463
10.498	24.340
10.501	24.215
10.504	24.088
10.508	23.958
10.511	23.825
10.515	23.688
10.519	23.547
10.524	23.401
10.529	23.251
10.534	23.095
10.539	22.935
10.546	22.771
10.552	22.602
10.559	22.429
10.567	22.253
10.576	22.073
10.585	21.889
10.595	21.703
10.606	21.514
10.618	21.322
10.630	21.128
10.644	20.931
10.659	20.733
10.675	20.534
10.691	20.334
10.707	20.134
10.724	19.935
10.741	19.737
10.757	19.540
10.773	19.345
10.789	19.154
10.803	18.965
10.817	18.781
10.830	18.601
10.841	18.427
10.850	18.258
10.858	18.095
10.864	17.937
10.868	17.785
10.871	17.635
10.873	17.489
10.874	17.343
10.874	17.198
10.874	17.053
10.873	16.905
10.871	16.755
10.870	16.601
10.869	16.442
10.867	16.278
10.867	16.110
10.867	15.937
10.867	15.763
10.869	15.586
10.872	15.409
10.876	15.233
10.882	15.058
10.889	14.886
10.898	14.718
10.909	14.553
10.923	14.395
10.938	14.242
10.957	14.097
10.976	13.958
10.997	13.825
11.019	13.696
11.040	13.570
11.060	13.448
11.078	13.328
11.095	13.209
11.108	13.091
11.118	12.972
11.124	12.853
11.128	12.734
11.128	12.614
11.127	12.495
11.125	12.377
11.122	12.260
11.118	12.145
11.116	12.032
11.114	11.922
11.114	11.814
11.113	11.710
11.111	11.609
11.107	11.513
11.098	11.420
11.085	11.331
11.066	11.248
11.040	11.169
11.008	11.094
10.971	11.021
10.932	10.950
10.890	10.879
10.848	10.808
10.807	10.734
10.767	10.658
10.728	10.580
10.691	10.502
10.654	10.423
10.619	10.345
10.585	10.267
10.552	10.191
10.518	10.117
10.482	10.046
10.442	9.977
10.396	9.912
10.344	9.852
10.283	9.796
10.218	9.745
10.152	9.701
10.088	9.665
10.031	9.636
9.983	9.617
9.945	9.608
9.913	9.616
9.882	9.643
9.850	9.689
9.818	9.752
9.786	9.829
9.752	9.917
9.717	10.014
9.681	10.117
9.644	10.225
9.606	10.336
9.567	10.450
9.527	10.566
9.485	10.684
9.443	10.803
9.400	10.922
9.356	11.040
9.312	11.157
9.266	11.272
9.221	11.386
9.175	11.499
9.130	11.613
9.086	11.727
9.043	11.842
9.001	11.959
8.960	12.078
8.922	12.200
8.886	12.325
8.852	12.453
8.820	12.584
8.790	12.719
8.760	12.856
8.732	12.995
8.703	13.137
8.675	13.281
8.647	13.428
8.619	13.576
8.589	13.726
8.559	13.878
8.528	14.030
8.496	14.184
8.464	14.338
8.432	14.491
8.401	14.644
8.370	14.796
8.340	14.946
8.312	15.094
8.285	15.240
8.261	15.383
8.239	15.523
8.219	15.659
8.201	15.793
8.186	15.926
8.172	16.059
8.160	16.193
8.149	16.329
8.140	16.468
8.131	16.612
8.124	16.761
8.117	16.917
8.111	17.080
8.105	17.250
8.100	17.427
8.094	17.609
8.089	17.795
8.084	17.984
8.079	18.175
8.074	18.368
8.068	18.560
8.063	18.751
8.057	18.939
8.050	19.125
8.044	19.305
8.036	19.481
8.028	19.650
8.020	19.812
8.011	19.970
8.002	20.124
7.993	20.275
7.985	20.425
7.977	20.576
7.970	20.728
7.963	20.882
7.958	21.041
7.954	21.205
7.951	21.376
7.951	21.555
7.952	21.741
7.954	21.934
7.959	22.130
7.965	22.329
7.972	22.529
7.981	22.727
7.991	22.922
8.003	23.112
8.015	23.295
8.029	23.469
8.043	23.632
8.059	23.783
8.076	23.920
8.093	24.041
8.111	24.148
8.129	24.246
8.147	24.339
8.166	24.433
8.184	24.531
8.202	24.639
8.219	24.762
8.235	24.903
8.250	25.065
8.264	25.244
8.278	25.437
8.291	25.639
8.303	25.847
8.315	26.057
8.328	26.265
8.340	26.468
8.352	26.662
8.364	26.844
8.377	27.008
8.390	27.152
8.404	27.272
8.419	27.365
8.434	27.435
8.450	27.493
8.466	27.550
8.481	27.615
8.496	27.700
8.510	27.810
8.522	27.940
8.533	28.088
8.542	28.247
8.549	28.413
8.554	28.583
8.557	28.750
8.557	28.912
8.554	29.062
8.549	29.197
8.539	29.311
8.528	29.404
8.518	29.479
8.516	29.543
8.524	29.601
8.549	29.659
8.594	29.722
8.658	29.792
8.734	29.867
8.818	29.948
8.905	30.032
8.990	30.121
9.067	30.212
9.133	30.305
9.181	30.399
9.212	30.494
9.232	30.586
9.245	30.673
9.259	30.753
9.278	30.824
9.310	30.883
9.358	30.928
9.421	30.959
9.497	30.977
9.583	30.981
9.675	30.972
9.770	30.951
