X	Y
3.120	10.453
3.138	10.442
3.154	10.429
3.169	10.413
3.183	10.395
3.197	10.375
3.211	10.354
3.226	10.333
3.243	10.311
3.262	10.289
3.284	10.268
3.306	10.248
3.330	10.228
3.354	10.210
3.378	10.193
3.401	10.178
3.422	10.164
3.441	10.153
3.457	10.144
3.470	10.137
3.480	10.130
3.487	10.123
3.491	10.111
3.493	10.095
3.493	10.074
3.491	10.048
3.487	10.019
3.482	9.986
3.477	9.951
3.471	9.914
3.464	9.876
3.458	9.837
3.452	9.798
3.447	9.760
3.442	9.723
3.439	9.687
3.436	9.653
3.435	9.620
3.434	9.587
3.434	9.556
3.435	9.524
3.436	9.492
3.437	9.460
3.439	9.427
3.441	9.394
3.442	9.359
3.444	9.322
3.445	9.284
3.447	9.244
3.448	9.203
3.449	9.159
3.450	9.114
3.450	9.067
3.451	9.019
3.452	8.969
3.452	8.917
3.453	8.863
3.453	8.807
3.454	8.750
3.454	8.690
3.455	8.629
3.455	8.567
3.456	8.502
3.456	8.435
3.457	8.367
3.457	8.297
3.458	8.225
3.459	8.152
3.460	8.078
3.460	8.003
3.461	7.928
3.462	7.853
3.462	7.779
3.463	7.705
3.464	7.632
3.464	7.560
3.464	7.490
3.465	7.422
3.465	7.357
3.465	7.294
3.464	7.234
3.464	7.177
3.463	7.124
3.462	7.075
3.461	7.030
3.460	6.989
3.458	6.954
3.456	6.924
3.454	6.899
3.452	6.878
3.451	6.861
3.452	6.846
3.453	6.834
3.458	6.823
3.464	6.812
3.472	6.801
3.481	6.789
3.491	6.774
3.499	6.756
3.507	6.734
3.514	6.708
3.519	6.678
3.522	6.644
3.525	6.606
3.526	6.565
3.526	6.521
3.526	6.474
3.525	6.425
3.524	6.373
3.522	6.320
3.520	6.265
3.518	6.210
3.516	6.153
3.514	6.095
3.513	6.038
3.512	5.980
3.512	5.922
3.512	5.865
3.513	5.809
3.514	5.754
3.515	5.699
3.517	5.646
3.519	5.594
3.522	5.544
3.524	5.496
3.526	5.449
3.529	5.405
3.531	5.363
3.533	5.323
3.536	5.287
3.537	5.253
3.539	5.222
3.540	5.194
3.540	5.170
3.540	5.148
3.540	5.127
3.540	5.108
3.540	5.089
3.539	5.069
3.539	5.048
3.539	5.025
3.540	5.000
3.540	4.974
3.540	4.947
3.540	4.919
3.541	4.891
3.541	4.862
3.540	4.834
3.540	4.807
3.539	4.781
3.538	4.757
3.536	4.733
3.534	4.710
3.532	4.687
3.529	4.664
3.526	4.640
3.523	4.615
3.519	4.590
3.516	4.563
3.512	4.534
3.508	4.505
3.504	4.475
3.500	4.446
3.496	4.417
3.491	4.389
3.487	4.363
3.482	4.338
3.478	4.316
3.473	4.297
3.468	4.279
3.464	4.262
3.459	4.244
3.455	4.224
3.451	4.201
3.447	4.173
3.443	4.140
3.439	4.100
3.436	4.055
3.433	4.004
3.430	3.948
3.427	3.889
3.424	3.827
3.422	3.763
3.420	3.698
3.417	3.632
3.415	3.566
3.413	3.502
3.411	3.438
3.409	3.378
3.407	3.320
3.405	3.267
3.402	3.218
3.400	3.175
3.398	3.138
3.395	3.108
3.392	3.085
3.390	3.069
3.386	3.055
3.383	3.043
3.378	3.029
3.373	3.012
3.367	2.991
3.361	2.965
3.353	2.934
3.346	2.901
3.337	2.864
3.328	2.825
3.319	2.785
3.310	2.743
3.300	2.700
3.290	2.657
3.279	2.614
3.269	2.573
3.258	2.532
3.248	2.494
3.237	2.457
3.227	2.422
3.216	2.389
3.205	2.358
3.193	2.328
3.182	2.299
3.169	2.272
3.156	2.246
3.142	2.221
3.128	2.198
3.113	2.175
3.097	2.153
3.080	2.132
3.063	2.111
3.046	2.092
3.028	2.073
3.011	2.056
2.994	2.038
2.977	2.022
2.961	2.006
2.946	1.992
2.932	1.979
2.919	1.969
2.907	1.962
2.896	1.959
2.887	1.960
2.879	1.966
2.871	1.973
2.864	1.981
2.858	1.988
2.851	1.997
2.845	2.008
2.839	2.024
2.834	2.045
2.830	2.073
2.825	2.107
