X	Y
2.577	8.237
2.589	8.215
2.597	8.190
2.601	8.163
2.603	8.135
2.603	8.106
2.602	8.077
2.603	8.048
2.605	8.021
2.609	7.996
2.614	7.972
2.621	7.949
2.631	7.929
2.643	7.910
2.657	7.894
2.673	7.881
2.690	7.869
2.708	7.860
2.726	7.853
2.746	7.849
2.766	7.846
2.788	7.843
2.812	7.840
2.838	7.837
2.864	7.833
2.887	7.829
2.904	7.825
2.910	7.820
2.905	7.816
2.891	7.810
2.874	7.801
2.858	7.787
2.846	7.769
2.836	7.747
2.828	7.722
2.821	7.696
2.812	7.668
2.803	7.641
2.791	7.614
2.779	7.589
2.768	7.564
2.757	7.541
2.748	7.520
2.742	7.501
2.739	7.483
2.739	7.466
2.738	7.448
2.737	7.429
2.734	7.407
2.729	7.384
2.723	7.359
2.715	7.333
2.707	7.307
2.699	7.282
2.690	7.258
2.682	7.235
2.674	7.213
2.668	7.191
2.663	7.168
2.659	7.146
2.658	7.122
2.658	7.097
2.659	7.070
2.661	7.040
2.663	7.008
2.665	6.972
2.667	6.932
2.668	6.888
2.669	6.840
2.669	6.791
2.669	6.740
2.668	6.689
2.668	6.639
2.667	6.591
2.667	6.546
2.666	6.504
2.666	6.467
2.667	6.437
2.667	6.411
2.668	6.390
2.668	6.370
2.668	6.351
2.666	6.329
2.663	6.305
2.659	6.278
2.655	6.249
2.650	6.219
2.646	6.188
2.643	6.157
2.641	6.126
2.640	6.097
2.641	6.068
2.643	6.040
2.645	6.011
2.648	5.982
2.651	5.952
2.655	5.921
2.657	5.888
2.660	5.854
2.663	5.818
2.665	5.781
2.667	5.742
2.669	5.701
2.670	5.658
2.672	5.613
2.673	5.567
2.674	5.518
2.675	5.468
2.676	5.416
2.677	5.363
2.678	5.310
2.680	5.256
2.681	5.201
2.684	5.147
2.686	5.094
2.689	5.041
2.692	4.990
2.696	4.940
2.701	4.891
2.707	4.845
2.713	4.800
2.719	4.757
2.725	4.715
2.732	4.675
2.738	4.636
2.744	4.599
2.750	4.563
2.755	4.528
2.760	4.493
2.763	4.460
2.767	4.427
2.769	4.395
2.771	4.362
2.773	4.330
2.774	4.298
2.775	4.265
2.776	4.231
2.777	4.197
2.778	4.161
2.778	4.124
2.778	4.085
2.778	4.045
2.777	4.001
2.777	3.955
2.776	3.906
2.775	3.854
2.774	3.799
2.773	3.740
2.771	3.680
2.770	3.618
2.768	3.555
2.766	3.492
2.764	3.429
2.762	3.367
2.760	3.307
2.758	3.248
2.755	3.192
2.753	3.140
2.751	3.091
2.749	3.047
2.747	3.007
2.745	2.972
2.742	2.939
2.739	2.908
2.736	2.880
2.731	2.851
2.726	2.823
2.720	2.795
2.713	2.765
2.705	2.735
2.697	2.704
2.688	2.672
2.679	2.641
2.669	2.608
2.660	2.576
2.651	2.544
2.642	2.512
2.632	2.480
2.623	2.449
2.613	2.419
2.602	2.390
2.590	2.362
2.578	2.335
2.564	2.311
2.549	2.288
2.533	2.266
2.516	2.246
2.498	2.227
2.479	2.210
2.459	2.195
2.439	2.181
2.418	2.169
2.398	2.161
2.378	2.155
2.360	2.153
2.342	2.155
2.326	2.161
2.313	2.173
2.301	2.191
2.291	2.215
2.283	2.244
2.277	2.277
2.272	2.315
2.267	2.356
2.264	2.400
2.260	2.446
2.257	2.493
2.254	2.541
2.250	2.590
2.246	2.640
2.242	2.689
2.238	2.739
2.233	2.788
2.229	2.838
2.224	2.887
2.219	2.936
2.214	2.985
2.210	3.032
2.205	3.079
2.200	3.125
2.195	3.171
2.191	3.215
2.186	3.259
2.182	3.304
2.177	3.347
2.172	3.392
2.167	3.436
2.162	3.481
2.157	3.526
2.152	3.573
2.146	3.620
2.141	3.668
2.135	3.716
2.130	3.765
2.124	3.813
2.119	3.860
2.113	3.908
2.108	3.954
2.104	3.999
2.099	4.042
2.095	4.084
2.092	4.124
2.089	4.163
2.086	4.201
2.084	4.238
2.082	4.275
2.081	4.313
2.079	4.352
2.078	4.391
2.077	4.433
2.076	4.476
2.075	4.522
2.074	4.569
2.074	4.618
2.073	4.667
2.073	4.718
2.072	4.770
2.072	4.822
2.071	4.874
2.071	4.926
2.071	4.978
2.070	5.030
2.070	5.081
2.070	5.131
2.070	5.181
2.069	5.230
2.069	5.279
2.069	5.327
2.069	5.376
2.069	5.424
2.069	5.472
2.070	5.520
2.070	5.569
2.071	5.617
2.071	5.666
2.072	5.715
2.073	5.764
2.075	5.814
2.076	5.865
2.077	5.916
2.079	5.967
2.081	6.019
2.083	6.072
2.085	6.126
2.088	6.180
2.090	6.236
2.093	6.292
2.096	6.349
2.099	6.407
2.102	6.465
2.106	6.524
2.110	6.583
2.114	6.642
2.118	6.702
2.123	6.761
2.128	6.820
2.133	6.878
2.138	6.936
2.143	6.994
2.149	7.050
2.155	7.106
2.162	7.162
2.169	7.216
2.176	7.270
2.184	7.324
2.192	7.377
2.200	7.430
2.209	7.483
2.218	7.535
2.228	7.588
2.239	7.640
2.250	7.693
2.261	7.746
2.273	7.799
2.286	7.852
2.299	7.904
2.312	7.954
2.324	8.002
2.337	8.049
2.350	8.092
2.362	8.132
2.374	8.168
2.385	8.200
2.395	8.228
2.405	8.250
2.415	8.267
2.428	8.279
2.444	8.287
2.464	8.290
2.487	8.287
2.512	8.281
2.536	8.270
2.559	8.255
2.577	8.237
