X	Y
2.829	2.260
2.829	2.259
2.834	2.252
2.843	2.241
2.856	2.228
2.871	2.213
2.889	2.200
2.907	2.188
2.926	2.179
2.944	2.175
2.962	2.176
2.980	2.181
2.997	2.190
3.014	2.202
3.031	2.217
3.047	2.235
3.062	2.256
3.077	2.278
3.092	2.302
3.107	2.327
3.121	2.354
3.135	2.381
3.148	2.409
3.162	2.438
3.175	2.467
3.187	2.497
3.199	2.528
3.211	2.559
3.223	2.591
3.234	2.623
3.245	2.655
3.255	2.688
3.265	2.721
3.275	2.754
3.285	2.787
3.294	2.820
3.303	2.853
3.312	2.887
3.320	2.920
3.328	2.953
3.335	2.986
3.343	3.019
3.350	3.052
3.356	3.085
3.362	3.117
3.368	3.150
3.373	3.183
3.378	3.215
3.383	3.248
3.387	3.280
3.391	3.312
3.394	3.344
3.397	3.376
3.399	3.408
3.401	3.440
3.402	3.472
3.403	3.504
3.404	3.535
3.405	3.567
3.405	3.599
3.405	3.631
3.404	3.663
3.404	3.695
3.403	3.727
3.402	3.760
3.402	3.793
3.401	3.826
3.400	3.859
3.399	3.893
3.399	3.927
3.398	3.961
3.397	3.996
3.397	4.031
3.397	4.066
3.397	4.102
3.397	4.139
3.397	4.175
3.397	4.212
3.397	4.250
3.397	4.287
3.397	4.326
3.397	4.364
3.397	4.403
3.398	4.442
3.398	4.482
3.398	4.521
3.398	4.562
3.398	4.602
3.398	4.643
3.398	4.684
3.398	4.726
3.398	4.768
3.398	4.810
3.398	4.852
3.398	4.895
3.397	4.937
3.397	4.980
3.397	5.023
3.396	5.066
3.395	5.108
3.395	5.151
3.394	5.194
3.393	5.237
3.392	5.279
3.391	5.322
3.390	5.364
3.388	5.406
3.387	5.448
3.386	5.490
3.384	5.531
3.382	5.572
3.381	5.612
3.379	5.652
3.377	5.692
3.375	5.731
3.373	5.770
3.371	5.809
3.368	5.847
3.366	5.885
3.364	5.923
3.362	5.960
3.360	5.997
3.359	6.034
3.357	6.070
3.355	6.107
3.354	6.143
3.352	6.178
3.351	6.214
3.350	6.249
3.350	6.284
3.349	6.318
3.349	6.353
3.349	6.387
3.349	6.421
3.348	6.454
3.348	6.488
3.348	6.521
3.347	6.553
3.346	6.585
3.344	6.617
3.342	6.648
3.339	6.679
3.336	6.709
3.332	6.739
3.327	6.768
3.321	6.797
3.314	6.825
3.306	6.852
3.298	6.879
3.289	6.906
3.279	6.933
3.269	6.960
3.260	6.986
3.250	7.013
3.241	7.040
3.233	7.068
3.225	7.097
3.218	7.126
3.212	7.156
3.207	7.186
3.204	7.218
3.203	7.252
3.203	7.286
3.205	7.322
3.208	7.358
3.212	7.395
3.217	7.433
3.223	7.471
3.230	7.509
3.236	7.548
3.243	7.586
3.250	7.624
3.257	7.662
3.264	7.699
3.270	7.736
3.275	7.771
3.279	7.806
3.282	7.839
3.284	7.871
3.285	7.901
3.283	7.930
3.281	7.957
3.276	7.982
3.271	8.006
3.264	8.029
3.255	8.051
3.246	8.072
3.236	8.092
3.225	8.110
3.213	8.129
3.200	8.146
3.186	8.163
3.172	8.180
3.158	8.196
3.143	8.210
3.127	8.223
3.112	8.234
3.095	8.241
3.079	8.246
3.062	8.248
3.044	8.245
3.027	8.238
3.009	8.227
2.991	8.211
2.973	8.193
2.955	8.170
2.937	8.145
2.919	8.117
2.901	8.087
2.884	8.054
2.867	8.020
2.851	7.984
2.835	7.946
2.820	7.908
2.806	7.870
2.792	7.831
2.780	7.791
2.768	7.753
2.757	7.715
2.748	7.677
2.739	7.640
2.731	7.604
2.725	7.568
2.718	7.532
2.713	7.497
2.708	7.462
2.704	7.427
2.701	7.393
2.698	7.358
