X	Y
7.454	27.972
7.511	27.933
7.566	27.886
7.624	27.837
7.684	27.788
7.751	27.744
7.825	27.709
7.908	27.685
7.997	27.670
8.086	27.659
8.172	27.649
8.251	27.636
8.318	27.617
8.370	27.587
8.406	27.546
8.428	27.494
8.439	27.431
8.440	27.358
8.435	27.277
8.424	27.188
8.411	27.097
8.399	27.004
8.390	26.913
8.387	26.827
8.392	26.749
8.406	26.679
8.427	26.614
8.453	26.551
8.483	26.488
8.515	26.421
8.547	26.349
8.577	26.270
8.605	26.187
8.630	26.099
8.650	26.008
8.665	25.915
8.674	25.821
8.676	25.727
8.674	25.634
8.669	25.546
8.665	25.462
8.664	25.387
8.670	25.321
8.684	25.266
8.706	25.220
8.733	25.175
8.761	25.127
8.786	25.068
8.807	24.995
8.824	24.909
8.837	24.812
8.847	24.706
8.853	24.593
8.856	24.474
8.857	24.350
8.856	24.225
8.853	24.098
8.848	23.971
8.842	23.845
8.835	23.719
8.826	23.595
8.818	23.474
8.808	23.355
8.799	23.241
8.789	23.130
8.780	23.024
8.771	22.922
8.761	22.823
8.751	22.723
8.740	22.622
8.728	22.518
8.715	22.409
8.700	22.293
8.683	22.169
8.665	22.037
8.645	21.899
8.624	21.757
8.603	21.613
8.582	21.470
8.562	21.329
8.544	21.193
8.527	21.064
8.513	20.944
8.501	20.835
8.493	20.739
8.486	20.652
8.480	20.573
8.473	20.498
8.462	20.423
8.448	20.347
8.427	20.266
8.401	20.179
8.370	20.087
8.337	19.990
8.303	19.890
8.269	19.786
8.237	19.680
8.208	19.572
8.184	19.462
8.165	19.352
8.150	19.243
8.139	19.135
8.132	19.029
8.128	18.927
8.127	18.830
8.128	18.738
8.131	18.652
8.135	18.572
8.141	18.494
8.147	18.416
8.153	18.333
8.159	18.245
8.164	18.147
8.168	18.038
8.172	17.918
8.175	17.790
8.177	17.655
8.180	17.515
8.183	17.372
8.187	17.228
8.191	17.084
8.197	16.943
8.203	16.806
8.212	16.675
8.222	16.551
8.232	16.432
8.244	16.317
8.255	16.205
8.266	16.094
8.276	15.984
8.285	15.873
8.291	15.761
8.296	15.645
8.298	15.526
8.298	15.405
8.297	15.284
8.295	15.162
8.294	15.042
8.292	14.925
8.291	14.811
8.292	14.702
8.295	14.599
8.300	14.502
8.306	14.408
8.314	14.315
8.322	14.221
8.330	14.124
8.337	14.021
8.344	13.911
8.349	13.791
8.352	13.661
8.354	13.523
8.355	13.380
8.354	13.233
8.353	13.083
8.351	12.934
8.348	12.786
8.345	12.642
8.342	12.504
8.338	12.373
8.334	12.251
8.331	12.138
8.328	12.031
8.325	11.929
8.321	11.829
8.318	11.730
8.315	11.629
8.312	11.525
8.310	11.416
8.307	11.301
8.303	11.182
8.300	11.060
8.295	10.936
8.289	10.812
8.281	10.690
8.272	10.569
8.261	10.453
8.248	10.342
8.232	10.237
8.213	10.137
8.193	10.041
8.171	9.949
8.147	9.859
8.122	9.771
8.095	9.683
8.068	9.595
8.039	9.507
8.010	9.419
7.981	9.333
7.952	9.250
7.923	9.169
7.894	9.092
7.866	9.020
7.837	8.952
7.807	8.889
7.772	8.830
7.732	8.774
7.684	8.723
7.629	8.676
7.569	8.635
7.509	8.604
7.452	8.585
7.401	8.580
7.358	8.591
7.324	8.618
7.296	8.661
7.273	8.719
7.255	8.792
7.239	8.876
7.226	8.971
7.214	9.075
7.202	9.186
7.189	9.302
7.174	9.422
7.156	9.544
7.136	9.667
7.114	9.790
7.090	9.914
7.065	10.037
7.039	10.159
7.013	10.280
6.987	10.398
6.962	10.513
6.938	10.625
6.916	10.734
6.894	10.841
6.874	10.946
6.854	11.052
6.836	11.157
6.819	11.265
6.803	11.375
6.787	11.489
6.773	11.607
6.759	11.729
6.745	11.853
6.733	11.980
6.721	12.108
6.709	12.236
6.697	12.364
6.686	12.490
6.675	12.615
6.664	12.736
6.652	12.854
6.641	12.970
6.631	13.082
6.620	13.193
6.610	13.302
6.601	13.411
6.592	13.518
6.583	13.626
6.576	13.734
6.569	13.844
6.563	13.955
6.557	14.069
6.552	14.186
6.547	14.307
6.543	14.433
6.538	14.564
6.533	14.701
6.528	14.846
6.523	14.997
6.517	15.156
6.511	15.319
6.505	15.487
6.499	15.657
6.493	15.829
6.487	16.001
6.481	16.172
6.476	16.340
6.470	16.506
6.466	16.666
6.461	16.820
6.458	16.967
6.455	17.107
6.452	17.240
6.450	17.368
6.449	17.494
6.448	17.618
6.448	17.743
6.448	17.870
6.448	18.002
6.449	18.139
6.450	18.284
6.451	18.437
6.452	18.599
6.454	18.769
6.456	18.945
6.458	19.126
6.460	19.311
6.462	19.499
6.465	19.688
6.468	19.879
6.471	20.070
6.474	20.259
6.477	20.445
6.480	20.628
6.484	20.806
6.487	20.979
6.491	21.146
6.495	21.307
6.499	21.463
6.502	21.614
6.506	21.760
6.510	21.901
6.514	22.038
6.518	22.171
6.522	22.300
6.526	22.426
6.529	22.548
6.533	22.666
6.536	22.782
6.538	22.893
6.539	23.001
6.539	23.106
6.537	23.206
6.533	23.302
6.527	23.395
6.518	23.483
6.508	23.569
6.497	23.654
6.486	23.740
6.475	23.828
6.465	23.919
6.457	24.016
6.451	24.118
6.447	24.224
6.446	24.333
6.446	24.441
6.447	24.547
6.450	24.650
6.454	24.747
6.459	24.835
6.465	24.915
6.469	24.986
6.471	25.050
6.467	25.108
6.458	25.160
6.440	25.208
6.416	25.253
6.387	25.297
6.354	25.340
6.319	25.385
6.282	25.431
6.244	25.477
6.206	25.525
6.168	25.574
6.131	25.623
6.096	25.675
6.063	25.732
6.035	25.793
6.010	25.863
5.992	25.939
5.980	26.020
5.977	26.102
5.983	26.184
6.001	26.261
6.033	26.331
6.076	26.393
6.127	26.448
6.181	26.499
6.231	26.550
6.273	26.601
6.301	26.655
6.316	26.714
6.323	26.776
6.327	26.842
6.334	26.909
6.347	26.978
6.368	27.047
6.397	27.116
6.433	27.183
6.475	27.247
6.522	27.307
6.574	27.363
6.629	27.414
6.686	27.463
6.746	27.511
6.807	27.560
6.868	27.611
6.928	27.667
6.987	27.724
7.041	27.782
7.090	27.838
7.132	27.890
7.164	27.935
7.189	27.972
7.212	28.000
7.243	28.017
7.286	28.023
7.338	28.017
7.395	28.000
7.454	27.972
