X	Y
54.000	60.000
54.903	58.216
55.811	56.632
56.731	55.226
57.669	53.974
58.633	52.854
59.631	51.854
60.673	51.001
61.771	50.323
62.934	49.855
64.097	49.691
65.084	50.017
65.716	51.022
65.934	52.737
65.829	55.001
65.500	57.644
65.045	60.495
64.564	63.382
64.155	66.135
63.915	68.586
63.859	70.695
63.915	72.560
64.005	74.285
64.053	75.976
63.981	77.738
63.742	79.646
63.373	81.695
62.922	83.868
62.439	86.145
61.974	88.509
61.576	90.941
61.290	93.422
61.119	95.932
61.050	98.446
61.065	100.944
61.150	103.400
61.288	105.793
61.466	108.100
61.664	110.302
61.859	112.413
62.020	114.457
62.117	116.462
62.122	118.454
62.004	120.458
61.761	122.482
61.502	124.451
61.371	126.269
61.506	127.840
62.050	129.066
63.054	129.920
64.276	130.593
65.413	131.322
66.164	132.344
66.373	133.771
66.129	135.504
65.548	137.421
64.746	139.403
63.838	141.328
62.902	143.098
61.929	144.662
60.897	145.979
59.782	147.006
58.564	147.701
57.251	148.024
55.896	147.932
54.558	147.386
53.293	146.349
52.140	144.855
51.125	142.999
50.271	140.875
49.603	138.580
49.145	136.208
48.920	133.855
48.904	131.573
49.027	129.373
49.215	127.265
49.398	125.256
49.500	123.358
49.454	121.575
49.251	119.869
48.946	118.155
48.592	116.347
48.245	114.358
47.959	112.104
47.770	109.541
47.669	106.726
47.639	103.736
47.665	100.643
47.729	97.523
47.816	94.451
47.910	91.500
47.993	88.745
48.056	86.243
48.116	83.957
48.201	81.822
48.338	79.768
48.555	77.730
48.879	75.639
49.335	73.437
49.919	71.134
50.609	68.784
51.383	66.442
52.221	64.161
53.101	61.995
54.000	60.000
