X,Y
214.000,498.000
213.132,496.621
212.544,495.053
212.163,493.342
211.915,491.533
211.725,489.672
211.520,487.803
211.226,485.973
210.771,484.225
210.129,482.577
209.329,481.016
208.400,479.529
207.374,478.099
206.280,476.714
205.150,475.358
204.014,474.016
202.900,472.674
201.823,471.311
200.796,469.903
199.831,468.429
198.941,466.866
198.138,465.193
197.435,463.387
196.844,461.426
196.369,459.300
195.996,457.022
195.713,454.607
195.506,452.070
195.360,449.425
195.262,446.689
195.198,443.875
195.154,440.999
195.117,438.075
195.071,435.119
195.004,432.145
194.904,429.167
194.771,426.187
194.607,423.207
194.416,420.225
194.200,417.243
193.963,414.262
193.706,411.281
193.435,408.302
193.150,405.324
192.855,402.347
192.554,399.373
192.248,396.402
191.942,393.434
191.636,390.472
191.335,387.522
191.039,384.591
190.750,381.688
190.472,378.818
190.204,375.990
189.951,373.210
189.713,370.486
189.493,367.826
189.292,365.236
189.113,362.724
188.957,360.298
188.827,357.956
188.725,355.690
188.654,353.486
188.616,351.332
188.614,349.216
188.650,347.127
188.726,345.052
188.845,342.979
189.009,340.895
189.220,338.791
189.471,336.661
189.756,334.501
190.067,332.308
190.397,330.077
190.740,327.804
191.089,325.487
191.436,323.120
191.775,320.700
192.099,318.223
192.402,315.693
192.683,313.128
192.941,310.545
193.175,307.963
193.383,305.400
193.564,302.875
193.717,300.405
193.839,298.010
193.931,295.707
193.991,293.514
194.017,291.448
194.017,289.497
194.001,287.640
193.976,285.854
193.955,284.115
193.945,282.402
193.958,280.691
194.001,278.959
194.085,277.190
194.214,275.390
194.391,273.569
194.619,271.740
194.903,269.914
195.247,268.102
195.653,266.315
196.125,264.564
196.662,262.850
197.249,261.151
197.872,259.443
198.517,257.702
199.169,255.904
199.813,254.025
200.434,252.041
201.018,249.929
201.554,247.673
202.044,245.294
202.491,242.822
202.901,240.283
203.279,237.708
203.629,235.123
203.955,232.559
204.263,230.042
204.557,227.603
204.841,225.268
205.120,223.066
205.397,221.002
205.668,219.050
205.932,217.186
206.188,215.384
206.431,213.619
206.662,211.864
206.877,210.094
207.075,208.284
207.255,206.419
207.416,204.500
207.558,202.526
207.681,200.499
207.786,198.419
207.872,196.287
207.938,194.104
207.987,191.870
208.016,189.587
208.029,187.265
208.029,184.918
208.020,182.564
208.006,180.218
207.992,177.895
207.979,175.611
207.974,173.383
207.979,171.227
207.998,169.157
208.033,167.186
208.077,165.307
208.119,163.508
208.149,161.775
208.156,160.096
208.129,158.457
208.059,156.846
207.935,155.251
207.771,153.661
207.611,152.072
207.495,150.480
207.466,148.879
207.567,147.265
207.840,145.633
208.325,143.982
209.025,142.350
209.913,140.812
210.964,139.437
212.150,138.300
213.446,137.472
214.826,137.025
216.263,137.018
217.738,137.425
219.231,138.190
220.725,139.258
222.200,140.573
223.637,142.079
225.018,143.721
226.324,145.442
227.541,147.203
228.660,148.990
229.675,150.794
230.579,152.605
231.365,154.414
232.028,156.211
232.559,157.988
232.952,159.733
233.206,161.441
233.351,163.109
233.432,164.741
233.493,166.339
233.577,167.908
233.729,169.448
233.992,170.965
234.398,172.461
234.923,173.951
235.527,175.449
236.171,176.972
236.817,178.533
237.425,180.150
237.955,181.836
238.377,183.605
238.701,185.446
238.950,187.347
239.147,189.292
239.316,191.268
239.482,193.258
239.666,195.250
239.894,197.228
240.186,199.178
240.550,201.091
240.977,202.964
241.461,204.791
241.995,206.569
242.570,208.293
243.180,209.959
243.817,211.562
244.474,213.101
245.135,214.593
245.784,216.067
246.400,217.553
246.967,219.080
247.466,220.677
247.879,222.374
248.189,224.198
248.396,226.142
248.514,228.179
248.553,230.280
248.528,232.417
248.449,234.563
248.330,236.688
248.183,238.765
248.020,240.766
247.853,242.667
247.688,244.480
247.530,246.226
247.382,247.928
247.248,249.608
247.133,251.287
247.041,252.989
246.977,254.734
246.939,256.534
246.923,258.385
246.925,260.282
246.938,262.221
246.957,264.198
246.977,266.208
246.994,268.247
247.000,270.310
246.995,272.390
246.981,274.476
246.963,276.553
246.946,278.608
246.934,280.628
246.933,282.599
246.947,284.507
246.981,286.340
247.039,288.085
247.111,289.749
247.179,291.355
247.225,292.924
247.230,294.479
247.175,296.041
247.043,297.632
246.817,299.273
246.506,300.966
246.132,302.705
245.713,304.486
245.272,306.302
244.829,308.148
244.403,310.019
244.017,311.909
243.686,313.814
243.403,315.730
243.159,317.654
242.940,319.585
242.735,321.521
242.533,323.458
242.321,325.395
242.088,327.330
241.823,329.259
241.531,331.180
241.227,333.089
240.925,334.982
240.640,336.855
240.387,338.704
240.181,340.526
240.036,342.316
239.967,344.072
239.965,345.807
240.007,347.544
240.070,349.308
240.131,351.125
240.165,353.018
240.149,355.011
240.060,357.130
239.876,359.397
239.597,361.804
239.244,364.319
238.835,366.913
238.390,369.552
237.928,372.205
237.468,374.842
237.030,377.431
236.633,379.939
236.296,382.336
236.038,384.591
235.876,386.677
235.800,388.613
235.790,390.436
235.824,392.182
235.883,393.889
235.945,395.593
235.991,397.332
235.999,399.143
235.956,401.050
235.868,403.040
235.748,405.094
235.607,407.190
235.456,409.309
235.306,411.429
235.170,413.531
235.058,415.593
234.981,417.596
234.945,419.533
234.939,421.417
234.954,423.266
234.979,425.097
235.005,426.927
235.022,428.773
235.019,430.651
234.987,432.578
234.921,434.557
234.826,436.568
234.708,438.588
234.574,440.595
234.430,442.566
234.282,444.478
234.135,446.309
233.997,448.036
233.870,449.646
233.748,451.169
233.621,452.642
233.481,454.103
233.317,455.589
233.121,457.139
232.883,458.788
232.607,460.545
232.309,462.386
232.005,464.285
231.712,466.217
231.445,468.157
231.223,470.079
