X	Y
7.828	16.753
7.887	16.723
7.945	16.685
7.999	16.641
8.050	16.592
8.094	16.538
8.131	16.483
8.159	16.426
8.176	16.370
8.183	16.316
8.182	16.263
8.175	16.212
8.166	16.163
8.156	16.116
8.148	16.071
8.145	16.028
8.145	15.985
8.149	15.940
8.157	15.892
8.169	15.839
8.185	15.780
8.204	15.715
8.225	15.645
8.249	15.572
8.275	15.497
8.301	15.420
8.329	15.343
8.356	15.267
8.383	15.194
8.409	15.124
8.433	15.057
8.457	14.991
8.478	14.925
8.498	14.857
8.517	14.788
8.533	14.714
8.548	14.635
8.560	14.550
8.571	14.458
8.579	14.359
8.585	14.254
8.590	14.144
8.594	14.029
8.596	13.911
8.598	13.791
8.599	13.668
8.599	13.544
8.600	13.419
8.600	13.295
8.600	13.172
8.601	13.051
8.603	12.932
8.606	12.816
8.609	12.703
8.612	12.591
8.617	12.481
8.621	12.373
8.627	12.264
8.632	12.156
8.638	12.048
8.644	11.939
8.650	11.829
8.656	11.717
8.663	11.603
8.669	11.487
8.675	11.369
8.681	11.248
8.686	11.126
8.692	11.004
8.697	10.881
8.702	10.759
8.707	10.638
8.712	10.519
8.716	10.402
8.720	10.289
8.724	10.179
8.727	10.073
8.730	9.972
8.733	9.876
8.735	9.786
8.737	9.700
8.738	9.617
8.739	9.536
8.739	9.456
8.739	9.376
8.737	9.296
8.735	9.214
8.732	9.129
8.728	9.040
8.724	8.948
8.718	8.853
8.712	8.755
8.706	8.656
8.700	8.556
8.694	8.455
8.689	8.354
8.684	8.254
8.679	8.156
8.676	8.059
8.673	7.965
8.672	7.874
8.672	7.785
8.672	7.698
8.674	7.612
8.676	7.527
8.678	7.441
8.680	7.354
8.683	7.267
8.685	7.177
8.688	7.084
8.690	6.989
8.691	6.891
8.692	6.791
8.693	6.690
8.693	6.589
8.693	6.489
8.693	6.391
8.692	6.295
8.692	6.203
8.690	6.115
8.689	6.033
8.687	5.957
8.685	5.886
8.682	5.820
8.679	5.757
8.675	5.696
8.670	5.635
8.664	5.574
8.656	5.510
8.648	5.443
8.637	5.374
8.626	5.304
8.614	5.234
8.601	5.165
8.588	5.099
8.574	5.037
8.559	4.980
8.545	4.929
8.531	4.883
8.517	4.842
8.503	4.803
8.488	4.765
8.474	4.727
8.459	4.693
8.440	4.664
8.416	4.647
8.385	4.645
8.348	4.656
8.306	4.678
8.262	4.707
8.216	4.739
8.172	4.772
8.129	4.803
8.087	4.834
8.047	4.866
8.008	4.902
7.969	4.943
7.931	4.991
7.894	5.047
7.856	5.110
7.819	5.180
7.782	5.254
7.746	5.333
7.711	5.414
7.676	5.496
7.643	5.577
7.610	5.658
7.579	5.735
7.549	5.809
7.520	5.880
7.493	5.949
7.466	6.017
7.440	6.084
7.414	6.152
7.389	6.221
7.364	6.293
7.340	6.369
7.315	6.448
7.291	6.531
7.266	6.617
7.242	6.706
7.218	6.797
7.194	6.890
7.171	6.985
7.148	7.080
7.126	7.176
7.104	7.272
7.083	7.368
7.063	7.463
7.043	7.558
7.023	7.653
7.004	7.748
6.986	7.843
6.967	7.938
6.950	8.035
6.932	8.133
6.915	8.232
6.898	8.333
6.881	8.436
6.864	8.541
6.847	8.648
6.830	8.757
6.813	8.867
6.797	8.978
6.781	9.090
6.766	9.202
6.751	9.314
6.736	9.425
6.722	9.535
6.709	9.644
6.696	9.751
6.684	9.856
6.673	9.958
6.662	10.057
6.653	10.155
6.644	10.250
6.636	10.345
6.629	10.438
6.623	10.531
6.617	10.624
6.612	10.717
6.608	10.811
6.605	10.907
6.602	11.004
6.600	11.103
6.598	11.204
6.597	11.305
6.596	11.407
6.596	11.509
6.596	11.609
6.597	11.708
6.598	11.805
6.599	11.900
6.600	11.991
6.602	12.079
6.603	12.162
6.605	12.242
6.607	12.319
6.608	12.395
6.611	12.470
6.613	12.547
6.615	12.627
6.618	12.710
6.621	12.797
6.624	12.891
6.627	12.992
6.631	13.099
6.636	13.210
6.641	13.324
6.647	13.441
6.653	13.559
6.661	13.676
6.670	13.792
6.680	13.905
6.691	14.015
6.704	14.119
6.718	14.216
6.734	14.306
6.752	14.388
6.771	14.463
6.792	14.534
6.814	14.600
6.837	14.665
6.861	14.730
6.886	14.796
6.911	14.865
6.937	14.939
6.963	15.018
6.990	15.101
7.016	15.189
7.043	15.281
7.069	15.375
7.095	15.471
7.121	15.570
7.146	15.669
7.171	15.769
7.195	15.869
7.218	15.968
7.240	16.066
7.261	16.162
7.284	16.254
7.307	16.342
7.331	16.425
7.358	16.502
7.388	16.571
7.422	16.632
7.459	16.684
7.501	16.725
7.548	16.755
7.599	16.775
7.654	16.784
7.710	16.784
7.769	16.773
7.828	16.753
