X,Y
205.000,470.000
203.385,469.760
201.874,469.270
200.479,468.550
199.214,467.620
198.092,466.499
197.126,465.209
196.330,463.769
195.716,462.199
195.272,460.519
194.968,458.748
194.769,456.906
194.641,455.011
194.552,453.083
194.467,451.141
194.353,449.204
194.176,447.292
193.903,445.423
193.520,443.605
193.046,441.824
192.504,440.064
191.914,438.309
191.298,436.545
190.679,434.755
190.078,432.923
189.517,431.035
189.017,429.075
188.596,427.033
188.245,424.921
187.949,422.760
187.694,420.570
187.464,418.370
187.245,416.182
187.023,414.024
186.782,411.918
186.508,409.882
186.185,407.938
185.800,406.103
185.354,404.377
184.862,402.739
184.341,401.167
183.807,399.638
183.278,398.130
182.769,396.621
182.297,395.089
181.879,393.511
181.522,391.874
181.220,390.179
180.965,388.425
180.750,386.614
180.565,384.748
180.404,382.828
180.259,380.854
180.121,378.830
179.984,376.754
179.840,374.631
179.688,372.464
179.530,370.261
179.364,368.027
179.191,365.768
179.011,363.489
178.824,361.197
178.629,358.897
178.427,356.596
178.218,354.299
178.001,352.012
177.778,349.740
177.551,347.481
177.324,345.232
177.102,342.992
176.889,340.756
176.688,338.522
176.503,336.288
176.339,334.051
176.199,331.807
176.087,329.555
176.008,327.291
175.964,325.014
175.954,322.728
175.977,320.442
176.029,318.163
176.108,315.898
176.211,313.655
176.335,311.441
176.479,309.263
176.639,307.130
176.812,305.049
176.997,303.026
177.192,301.069
177.395,299.176
177.608,297.344
177.830,295.570
178.062,293.851
178.305,292.186
178.558,290.570
178.822,289.001
179.097,287.476
179.381,285.985
179.668,284.511
179.952,283.034
180.226,281.533
180.484,279.991
180.720,278.386
180.927,276.701
181.099,274.916
181.238,273.030
181.350,271.056
181.441,269.006
181.517,266.894
181.585,264.731
181.652,262.531
181.722,260.306
181.803,258.068
181.902,255.831
182.024,253.606
182.172,251.404
182.344,249.224
182.533,247.066
182.736,244.930
182.947,242.814
183.162,240.719
183.375,238.642
183.581,236.585
183.777,234.546
183.956,232.525
184.115,230.520
184.254,228.528
184.376,226.544
184.483,224.562
184.579,222.577
184.666,220.584
184.747,218.577
184.825,216.551
184.903,214.500
184.983,212.420
185.069,210.306
185.160,208.164
185.256,206.003
185.354,203.835
185.454,201.669
185.555,199.515
185.656,197.383
185.755,195.282
185.852,193.224
185.945,191.218
186.033,189.274
186.117,187.390
186.200,185.553
186.286,183.744
186.377,181.947
186.478,180.147
186.591,178.326
186.720,176.467
186.868,174.555
187.038,172.573
187.233,170.511
187.450,168.380
187.687,166.190
187.941,163.951
188.211,161.675
188.494,159.373
188.788,157.055
189.089,154.732
189.397,152.417
189.708,150.118
190.021,147.848
190.334,145.613
190.649,143.412
190.971,141.239
191.302,139.090
191.646,136.959
192.006,134.841
192.386,132.732
192.789,130.627
193.218,128.520
193.677,126.408
194.170,124.284
194.700,122.159
195.274,120.063
195.898,118.029
196.579,116.090
197.323,114.277
198.137,112.625
199.027,111.165
200.000,109.930
201.061,108.953
202.214,108.258
203.453,107.835
204.767,107.671
206.149,107.751
207.588,108.060
209.076,108.583
210.603,109.306
212.157,110.214
213.720,111.290
215.276,112.516
216.808,113.877
218.297,115.355
219.726,116.935
221.079,118.599
222.337,120.330
223.484,122.112
224.502,123.929
225.389,125.768
226.156,127.620
226.811,129.478
227.368,131.333
227.835,133.176
228.225,135.000
228.547,136.796
228.813,138.556
229.033,140.272
229.216,141.940
229.371,143.571
229.501,145.176
229.615,146.768
229.717,148.357
229.813,149.957
229.911,151.579
230.015,153.236
230.130,154.933
230.253,156.670
230.380,158.439
230.508,160.236
230.631,162.056
230.748,163.894
230.853,165.744
230.944,167.602
231.016,169.461
231.068,171.322
231.101,173.189
231.118,175.071
231.121,176.974
231.112,178.906
231.095,180.874
231.071,182.885
231.043,184.945
231.013,187.063
230.983,189.246
230.953,191.489
230.920,193.784
230.881,196.120
230.832,198.487
230.772,200.875
230.697,203.272
230.604,205.670
230.490,208.057
230.353,210.423
230.189,212.758
229.995,215.051
229.771,217.294
229.526,219.481
229.268,221.609
229.009,223.673
228.758,225.669
228.526,227.593
228.323,229.442
228.159,231.211
228.045,232.896
227.990,234.493
227.998,236.010
228.063,237.472
228.178,238.905
228.335,240.337
228.526,241.794
228.745,243.303
228.984,244.891
229.235,246.578
229.493,248.350
229.752,250.181
230.006,252.047
230.250,253.922
230.477,255.783
230.682,257.603
230.859,259.359
231.002,261.024
231.107,262.585
231.175,264.066
231.208,265.499
231.209,266.918
231.179,268.355
231.120,269.845
231.036,271.421
230.927,273.113
230.796,274.927
230.646,276.854
230.479,278.881
230.296,280.997
230.100,283.192
229.894,285.453
229.679,287.771
229.458,290.133
229.232,292.528
229.005,294.945
228.778,297.374
228.554,299.807
228.335,302.238
228.123,304.659
227.920,307.064
227.730,309.445
227.555,311.798
227.396,314.113
227.256,316.386
227.137,318.609
227.043,320.775
226.974,322.877
226.932,324.913
226.910,326.882
226.906,328.784
226.915,330.619
226.932,332.387
226.954,334.089
226.976,335.726
226.994,337.296
227.004,338.801
227.005,340.257
227.001,341.696
226.994,343.147
226.987,344.643
226.983,346.213
226.985,347.889
226.997,349.702
227.021,351.678
227.056,353.812
227.103,356.086
227.160,358.484
227.228,360.988
227.304,363.581
227.389,366.244
227.482,368.962
227.581,371.716
227.687,374.489
227.798,377.264
227.914,380.024
228.034,382.750
228.157,385.433
228.285,388.075
228.419,390.676
228.558,393.241
228.704,395.772
228.858,398.272
229.020,400.742
229.190,403.187
229.371,405.609
229.561,408.009
229.763,410.392
229.977,412.759
230.203,415.114
230.433,417.456
230.657,419.786
230.866,422.105
231.050,424.412
231.200,426.709
231.306,428.994
231.359,431.270
231.348,433.535
231.265,435.790
231.099,438.035
230.842,440.271
230.486,442.493
230.030,444.693
229.470,446.864
228.802,448.997
228.025,451.085
227.134,453.119
226.127,455.092
225.000,456.996
223.752,458.822
222.377,460.564
220.876,462.211
219.262,463.750
217.558,465.163
215.786,466.431
213.970,467.536
212.130,468.462
210.291,469.189
208.475,469.700
206.704,469.976
205.000,470.000
