X	Y
5.219	6.375
5.283	6.206
5.351	6.033
5.420	5.859
5.491	5.687
5.562	5.519
5.633	5.357
5.703	5.203
5.776	5.057
5.856	4.920
5.947	4.789
6.053	4.666
6.174	4.552
6.299	4.456
6.410	4.392
6.491	4.373
6.527	4.409
6.533	4.494
6.532	4.616
6.539	4.765
6.554	4.936
6.572	5.123
6.587	5.322
6.595	5.528
6.592	5.737
6.574	5.944
6.545	6.151
6.507	6.356
6.462	6.561
6.414	6.765
6.366	6.969
6.319	7.172
6.276	7.375
6.235	7.577
6.198	7.780
6.162	7.983
6.128	8.186
6.096	8.389
6.066	8.592
6.036	8.796
6.008	9.000
5.980	9.206
5.953	9.413
5.926	9.621
5.900	9.832
5.874	10.043
5.849	10.256
5.824	10.469
5.801	10.681
5.780	10.892
5.760	11.100
5.743	11.306
5.728	11.507
5.714	11.702
5.700	11.892
5.685	12.073
5.668	12.246
5.648	12.408
5.628	12.561
5.615	12.705
5.619	12.843
5.648	12.976
5.707	13.105
5.790	13.221
5.885	13.313
5.980	13.369
6.061	13.382
6.117	13.395
6.133	13.465
6.113	13.596
6.065	13.763
5.998	13.940
5.920	14.101
5.840	14.225
5.760	14.319
5.682	14.401
5.604	14.487
5.527	14.594
5.449	14.717
5.365	14.845
5.274	14.969
5.171	15.078
5.057	15.161
4.940	15.208
4.832	15.210
4.744	15.155
4.678	15.045
4.631	14.894
4.598	14.717
4.574	14.528
4.557	14.341
4.541	14.164
4.528	13.989
4.517	13.811
4.509	13.623
4.503	13.417
4.499	13.189
4.498	12.933
4.499	12.654
4.502	12.354
4.507	12.038
4.516	11.708
4.526	11.369
4.539	11.023
4.555	10.675
4.574	10.329
4.595	9.987
4.618	9.652
4.645	9.328
4.674	9.014
4.706	8.712
4.740	8.424
4.777	8.150
4.816	7.893
4.857	7.653
4.901	7.431
4.947	7.229
4.995	7.043
5.046	6.869
5.100	6.703
5.158	6.540
5.219	6.375
