X,Y
170.000,474.000
168.771,473.363
167.722,472.158
166.825,470.488
166.055,468.454
165.387,466.158
164.793,463.703
164.249,461.188
163.729,458.715
163.219,456.336
162.714,454.058
162.211,451.887
161.705,449.831
161.194,447.894
160.673,446.084
160.139,444.407
159.591,442.864
159.060,441.423
158.591,440.029
158.231,438.630
158.025,437.173
158.020,435.606
158.235,433.905
158.644,432.111
159.211,430.269
159.901,428.425
160.680,426.625
161.514,424.916
162.368,423.341
163.208,421.895
164.004,420.512
164.723,419.121
165.333,417.652
165.803,416.036
166.103,414.203
166.225,412.130
166.196,409.848
166.041,407.391
165.788,404.796
165.464,402.096
165.096,399.327
164.710,396.524
164.334,393.720
163.994,390.952
163.712,388.248
163.487,385.617
163.313,383.062
163.183,380.587
163.093,378.196
163.035,375.892
163.005,373.678
162.996,371.558
163.003,369.535
163.018,367.601
163.038,365.722
163.056,363.860
163.066,361.979
163.063,360.042
163.042,358.012
162.996,355.851
162.923,353.538
162.826,351.092
162.713,348.544
162.589,345.924
162.460,343.262
162.333,340.587
162.213,337.931
162.108,335.323
162.022,332.793
161.962,330.369
161.928,328.052
161.914,325.824
161.916,323.669
161.930,321.571
161.951,319.513
161.974,317.477
161.996,315.448
162.012,313.410
162.021,311.357
162.025,309.290
162.024,307.210
162.021,305.115
162.014,303.007
162.007,300.885
161.999,298.749
161.992,296.600
161.986,294.435
161.982,292.252
161.980,290.051
161.980,287.829
161.983,285.585
161.990,283.317
162.000,281.024
162.016,278.705
162.043,276.371
162.090,274.035
162.165,271.710
162.274,269.408
162.426,267.143
162.628,264.926
162.889,262.771
163.214,260.689
163.596,258.677
164.019,256.720
164.465,254.804
164.917,252.916
165.357,251.039
165.769,249.161
166.135,247.267
166.450,245.347
166.726,243.399
166.977,241.420
167.215,239.407
167.453,237.358
167.704,235.271
167.980,233.143
168.293,230.973
168.638,228.771
169.007,226.548
169.390,224.316
169.781,222.086
170.171,219.871
170.551,217.681
170.913,215.530
171.251,213.427
171.576,211.376
171.907,209.377
172.264,207.428
172.666,205.529
173.134,203.680
173.687,201.879
174.344,200.128
175.119,198.463
176.020,196.955
177.055,195.676
178.229,194.700
179.552,194.100
181.026,193.940
182.616,194.215
184.261,194.871
185.900,195.855
187.471,197.114
188.913,198.595
190.166,200.245
191.190,202.018
192.006,203.883
192.642,205.816
193.128,207.789
193.491,209.775
193.762,211.749
193.970,213.684
194.141,215.558
194.290,217.378
194.426,219.164
194.560,220.934
194.700,222.709
194.855,224.507
195.036,226.347
195.248,228.241
195.488,230.175
195.753,232.137
196.040,234.111
196.345,236.084
196.664,238.040
196.994,239.967
197.331,241.855
197.665,243.720
197.987,245.586
198.289,247.477
198.559,249.414
198.789,251.421
198.968,253.520
199.089,255.731
199.157,258.031
199.181,260.377
199.172,262.729
199.140,265.045
199.095,267.284
199.048,269.404
199.010,271.363
198.989,273.124
198.985,274.717
198.992,276.213
199.001,277.683
199.007,279.199
199.001,280.835
198.979,282.648
198.946,284.627
198.911,286.737
198.881,288.943
198.867,291.208
198.876,293.499
198.918,295.779
199.001,298.014
199.126,300.174
199.268,302.259
199.393,304.273
199.468,306.221
199.460,308.108
199.335,309.938
199.061,311.717
198.614,313.449
198.044,315.137
197.426,316.781
196.836,318.384
196.352,319.948
196.049,321.473
195.997,322.963
196.184,324.436
196.540,325.919
196.997,327.440
197.485,329.027
197.934,330.707
198.283,332.504
198.529,334.401
198.695,336.370
198.801,338.379
198.869,340.398
198.921,342.397
198.976,344.346
199.055,346.217
199.149,348.010
199.232,349.746
199.277,351.444
199.257,353.126
199.146,354.811
198.917,356.520
198.565,358.266
198.126,360.051
197.635,361.878
197.132,363.746
196.652,365.658
196.234,367.614
195.915,369.616
195.712,371.658
195.611,373.724
195.593,375.796
195.639,377.856
195.732,379.886
195.854,381.869
195.985,383.786
196.109,385.627
196.212,387.409
196.280,389.162
196.299,390.918
196.258,392.705
196.143,394.555
195.941,396.495
195.649,398.540
195.289,400.665
194.882,402.843
194.449,405.047
194.015,407.251
193.600,409.426
193.227,411.545
192.918,413.583
192.682,415.526
192.504,417.389
192.368,419.190
192.257,420.946
192.155,422.672
192.044,424.388
191.911,426.108
191.753,427.838
191.582,429.572
191.408,431.307
191.241,433.038
191.091,434.761
190.970,436.473
190.875,438.173
190.786,439.870
190.680,441.575
190.534,443.298
190.325,445.049
190.031,446.838
189.630,448.673
189.112,450.557
188.470,452.486
187.695,454.462
186.782,456.482
185.723,458.544
184.511,460.649
183.139,462.794
181.605,464.968
179.947,467.101
178.210,469.102
176.441,470.882
174.689,472.351
173.000,473.421
171.421,474.000
170.000,474.000
