X,Y
260.000,539.000
258.901,537.892
257.898,536.258
256.985,534.154
256.152,531.637
255.391,528.764
254.694,525.590
254.052,522.173
253.456,518.569
252.898,514.835
252.371,511.027
251.864,507.201
251.370,503.414
250.881,499.724
250.388,496.185
249.882,492.855
249.355,489.791
248.799,487.048
248.204,484.683
247.565,482.746
246.890,481.202
246.195,479.961
245.500,478.936
244.823,478.036
244.181,477.172
243.593,476.255
243.077,475.196
242.649,473.915
242.308,472.406
242.045,470.687
241.852,468.780
241.722,466.704
241.646,464.480
241.616,462.128
241.625,459.668
241.664,457.122
241.725,454.509
241.800,451.850
241.881,449.164
241.960,446.473
242.030,443.796
242.085,441.143
242.128,438.514
242.159,435.905
242.179,433.315
242.190,430.742
242.192,428.184
242.186,425.639
242.174,423.105
242.156,420.580
242.134,418.062
242.108,415.549
242.081,413.039
242.052,410.531
242.023,408.021
241.995,405.508
241.968,402.991
241.944,400.473
241.923,397.956
241.904,395.443
241.890,392.935
241.879,390.437
241.872,387.949
241.870,385.476
241.874,383.018
241.882,380.580
241.897,378.163
241.918,375.770
241.946,373.404
241.981,371.066
242.024,368.761
242.072,366.490
242.123,364.260
242.171,362.073
242.215,359.935
242.249,357.849
242.270,355.821
242.275,353.854
242.259,351.953
242.219,350.123
242.152,348.368
242.053,346.692
241.920,345.099
241.766,343.591
241.618,342.163
241.505,340.815
241.453,339.543
241.489,338.344
241.643,337.216
241.940,336.156
242.402,335.159
243.004,334.200
243.703,333.249
244.457,332.273
245.223,331.242
245.960,330.125
246.624,328.889
247.174,327.504
247.590,325.959
247.887,324.273
248.081,322.466
248.190,320.561
248.230,318.578
248.220,316.538
248.175,314.463
248.113,312.374
248.052,310.292
248.008,308.238
247.998,306.234
248.037,304.297
248.119,302.424
248.233,300.603
248.370,298.823
248.516,297.073
248.662,295.343
248.795,293.621
248.906,291.895
248.983,290.156
249.014,288.391
248.989,286.589
248.901,284.744
248.754,282.857
248.552,280.930
248.300,278.965
248.002,276.964
247.663,274.929
247.289,272.864
246.882,270.769
246.449,268.647
245.993,266.501
245.519,264.332
245.032,262.143
244.537,259.937
244.039,257.718
243.543,255.493
243.057,253.267
242.584,251.046
242.132,248.837
241.705,246.644
241.310,244.475
240.953,242.335
240.638,240.229
240.373,238.164
240.162,236.146
240.011,234.180
239.924,232.270
239.897,230.407
239.921,228.578
239.987,226.771
240.088,224.971
240.216,223.166
240.361,221.343
240.517,219.489
240.675,217.591
240.827,215.635
240.964,213.610
241.080,211.503
241.184,209.330
241.297,207.118
241.436,204.895
241.622,202.691
241.873,200.534
242.209,198.452
242.649,196.474
243.212,194.628
243.917,192.942
244.785,191.445
245.832,190.165
247.075,189.127
248.495,188.327
250.062,187.751
251.746,187.386
253.517,187.218
255.344,187.233
257.198,187.417
259.048,187.756
260.865,188.238
262.618,188.847
264.279,189.571
265.843,190.405
267.315,191.346
268.697,192.394
269.996,193.545
271.214,194.799
272.357,196.152
273.429,197.605
274.434,199.153
275.376,200.796
276.260,202.532
277.089,204.356
277.865,206.260
278.587,208.235
279.257,210.271
279.875,212.359
280.444,214.491
280.963,216.657
281.434,218.849
281.857,221.057
282.233,223.272
282.564,225.485
282.850,227.688
283.092,229.870
283.294,232.029
283.462,234.165
283.606,236.282
283.731,238.382
283.846,240.467
283.958,242.540
284.074,244.602
284.202,246.657
284.349,248.707
284.523,250.754
284.730,252.800
284.980,254.848
285.276,256.900
285.619,258.956
286.003,261.015
286.423,263.077
286.877,265.141
287.359,267.205
287.865,269.270
288.392,271.335
288.934,273.399
289.487,275.461
290.047,277.521
290.611,279.578
291.172,281.631
291.729,283.681
292.279,285.728
292.819,287.774
293.348,289.820
293.862,291.867
294.361,293.918
294.842,295.972
295.302,298.031
295.740,300.097
296.153,302.171
296.539,304.254
296.895,306.347
297.221,308.452
297.516,310.567
297.780,312.687
298.015,314.810
298.223,316.932
298.403,319.048
298.558,321.157
298.688,323.253
298.794,325.333
298.877,327.394
298.939,329.432
298.981,331.443
299.003,333.424
299.004,335.372
298.975,337.289
298.907,339.177
298.790,341.036
298.615,342.869
298.373,344.676
298.054,346.460
297.649,348.222
297.149,349.963
296.543,351.686
