X,Y
203.000,518.000
201.661,517.459
200.372,516.585
199.136,515.415
197.959,513.984
196.842,512.331
195.792,510.491
194.812,508.501
193.906,506.399
193.078,504.220
192.331,501.997
191.657,499.744
191.046,497.465
190.489,495.167
189.974,492.853
189.492,490.531
189.033,488.206
188.585,485.882
188.139,483.566
187.685,481.263
187.212,478.979
186.711,476.719
186.181,474.484
185.626,472.273
185.054,470.084
184.470,467.916
183.881,465.768
183.292,463.638
182.710,461.523
182.141,459.424
181.591,457.338
181.065,455.264
180.569,453.199
180.103,451.139
179.664,449.078
179.251,447.010
178.859,444.930
178.488,442.831
178.134,440.708
177.795,438.555
177.470,436.366
177.155,434.136
176.848,431.857
176.548,429.531
176.256,427.160
175.973,424.747
175.699,422.298
175.435,419.815
175.182,417.302
174.940,414.764
174.710,412.203
174.492,409.625
174.288,407.031
174.098,404.427
173.922,401.817
173.762,399.201
173.616,396.583
173.486,393.961
173.371,391.338
173.271,388.714
173.186,386.090
173.116,383.467
173.062,380.846
173.023,378.227
172.999,375.612
172.991,373.002
172.998,370.396
173.020,367.797
173.057,365.205
173.107,362.621
173.169,360.047
173.242,357.483
173.324,354.930
173.415,352.389
173.514,349.862
173.618,347.349
173.728,344.852
173.841,342.370
173.957,339.907
174.074,337.461
174.194,335.032
174.317,332.613
174.447,330.199
174.585,327.787
174.733,325.371
174.894,322.945
175.068,320.506
175.259,318.047
175.468,315.565
175.697,313.053
175.948,310.508
176.222,307.925
176.521,305.308
176.841,302.663
177.182,299.996
177.543,297.315
177.922,294.627
178.317,291.937
178.729,289.253
179.154,286.581
179.593,283.928
180.043,281.300
180.503,278.705
180.972,276.148
181.449,273.636
181.931,271.174
182.415,268.765
182.898,266.413
183.378,264.122
183.852,261.895
184.317,259.736
184.770,257.649
185.209,255.637
185.630,253.705
186.031,251.856
186.411,250.088
186.773,248.380
187.122,246.706
187.461,245.042
187.797,243.362
188.132,241.642
188.472,239.857
188.821,237.981
189.183,235.991
