X	Y
1.984	6.703
2.003	6.714
2.021	6.728
2.040	6.745
2.057	6.762
2.075	6.778
2.091	6.791
2.108	6.799
2.124	6.803
2.139	6.802
2.153	6.796
2.165	6.788
2.177	6.776
2.186	6.761
2.195	6.744
2.202	6.724
2.208	6.702
2.213	6.677
2.216	6.650
2.219	6.621
2.222	6.592
2.224	6.562
2.226	6.533
2.229	6.505
2.232	6.478
2.235	6.455
2.240	6.433
2.245	6.414
2.252	6.396
2.259	6.377
2.267	6.358
2.276	6.338
2.285	6.315
2.295	6.291
2.304	6.265
2.313	6.237
2.320	6.209
2.325	6.181
2.328	6.152
2.328	6.124
2.325	6.096
2.319	6.068
2.312	6.041
2.304	6.015
2.295	5.989
2.286	5.965
2.277	5.941
2.270	5.919
2.264	5.898
2.259	5.877
2.253	5.858
2.247	5.840
2.239	5.821
2.229	5.804
2.218	5.786
2.205	5.768
2.192	5.749
2.179	5.729
2.167	5.708
2.158	5.684
2.151	5.659
2.147	5.632
2.145	5.602
2.145	5.571
2.146	5.540
2.148	5.507
2.151	5.473
2.154	5.440
2.156	5.406
2.157	5.373
2.158	5.341
2.158	5.309
2.157	5.277
2.157	5.246
2.157	5.215
2.157	5.185
2.159	5.156
2.161	5.127
2.164	5.099
2.168	5.071
2.174	5.044
2.180	5.017
2.187	4.992
2.194	4.966
2.201	4.942
2.208	4.917
2.215	4.894
2.222	4.870
2.228	4.847
2.234	4.823
2.239	4.798
2.244	4.772
2.248	4.744
2.252	4.714
2.254	4.683
2.256	4.650
2.258	4.615
2.259	4.580
2.261	4.545
2.262	4.509
2.263	4.473
2.264	4.439
2.265	4.405
2.267	4.373
2.268	4.342
2.271	4.311
2.273	4.282
2.276	4.252
2.278	4.223
2.281	4.192
2.283	4.161
2.285	4.129
2.288	4.094
2.289	4.058
2.291	4.020
2.292	3.981
2.293	3.942
2.293	3.901
2.293	3.860
2.293	3.820
2.292	3.779
2.290	3.740
2.288	3.701
2.286	3.663
2.283	3.627
2.279	3.592
2.275	3.559
2.271	3.528
2.267	3.499
2.263	3.473
2.260	3.449
2.256	3.428
2.253	3.410
2.250	3.393
2.248	3.377
2.246	3.361
2.245	3.342
2.244	3.320
2.244	3.294
2.243	3.264
2.243	3.232
2.243	3.197
2.243	3.160
2.243	3.122
2.242	3.084
2.242	3.045
2.240	3.006
2.238	2.967
2.236	2.930
2.233	2.893
2.230	2.858
2.226	2.823
2.222	2.790
2.218	2.757
2.213	2.725
2.209	2.694
2.204	2.665
2.200	2.636
2.196	2.608
2.191	2.581
2.187	2.555
2.182	2.529
2.177	2.504
2.172	2.479
2.167	2.454
2.161	2.429
2.155	2.404
2.148	2.379
2.140	2.354
2.132	2.330
2.124	2.305
2.115	2.280
2.105	2.256
2.095	2.231
2.084	2.207
2.072	2.184
2.060	2.161
2.047	2.138
2.033	2.117
2.018	2.096
2.002	2.077
1.985	2.059
1.969	2.043
1.952	2.029
1.936	2.017
1.922	2.008
1.908	2.001
1.896	1.999
1.886	2.001
1.877	2.009
1.870	2.023
1.863	2.041
1.858	2.063
1.855	2.088
1.851	2.114
1.849	2.141
1.847	2.168
1.845	2.194
1.844	2.221
1.843	2.248
1.842	2.275
1.841	2.303
1.840	2.332
1.839	2.363
1.837	2.395
1.836	2.429
1.834	2.464
1.832	2.499
1.829	2.536
1.827	2.574
1.824	2.612
1.821	2.650
1.818	2.689
1.815	2.727
1.811	2.766
1.808	2.804
1.804	2.842
1.800	2.879
1.796	2.916
1.792	2.953
1.788	2.989
1.784	3.025
1.780	3.060
1.776	3.095
1.772	3.129
1.768	3.163
1.764	3.196
1.760	3.229
1.757	3.262
1.753	3.294
1.749	3.327
1.746	3.360
1.742	3.394
1.738	3.429
1.735	3.464
1.731	3.500
1.728	3.537
1.724	3.575
1.721	3.613
1.718	3.652
1.714	3.691
1.711	3.731
1.708	3.770
1.705	3.810
1.702	3.850
1.699	3.889
1.696	3.928
1.694	3.967
1.691	4.005
1.689	4.043
1.687	4.082
1.685	4.120
1.683	4.158
1.682	4.197
1.680	4.236
1.679	4.276
1.678	4.316
1.677	4.357
1.676	4.399
1.676	4.442
1.675	4.485
1.675	4.529
1.675	4.573
1.675	4.618
1.675	4.664
1.676	4.710
1.676	4.756
1.676	4.803
1.677	4.850
1.677	4.898
1.677	4.946
1.677	4.994
1.677	5.042
1.678	5.090
1.678	5.138
1.678	5.186
1.678	5.234
1.679	5.281
1.680	5.328
1.681	5.374
1.682	5.419
1.683	5.464
1.685	5.507
1.687	5.550
1.689	5.591
1.691	5.632
1.694	5.671
1.698	5.711
1.701	5.749
1.705	5.788
1.709	5.827
1.714	5.867
1.718	5.907
1.723	5.948
1.728	5.991
1.733	6.035
1.738	6.081
1.744	6.128
1.749	6.177
1.755	6.225
1.761	6.274
1.768	6.322
1.774	6.369
1.781	6.415
1.789	6.458
1.796	6.499
1.804	6.537
1.813	6.572
1.822	6.602
1.832	6.628
1.842	6.649
1.853	6.667
1.866	6.680
1.879	6.688
1.894	6.693
1.911	6.695
1.928	6.695
1.947	6.695
1.965	6.697
1.984	6.703
