X	Y
2.436	9.702
2.459	9.684
2.480	9.667
2.500	9.649
2.520	9.630
2.539	9.611
2.558	9.590
2.578	9.568
2.599	9.544
2.619	9.520
2.638	9.496
2.656	9.473
2.672	9.451
2.686	9.431
2.697	9.413
2.706	9.394
2.713	9.373
2.719	9.348
2.725	9.318
2.730	9.281
2.735	9.239
2.740	9.193
2.745	9.143
2.750	9.093
2.754	9.042
2.759	8.993
2.764	8.946
2.769	8.903
2.774	8.865
2.779	8.833
2.784	8.804
2.789	8.778
2.793	8.752
2.797	8.724
2.800	8.692
2.803	8.655
2.804	8.613
2.805	8.566
2.805	8.515
2.805	8.461
2.804	8.406
2.803	8.351
2.802	8.295
2.802	8.241
2.801	8.189
2.801	8.141
2.802	8.097
2.802	8.057
2.804	8.021
2.806	7.987
2.808	7.954
2.810	7.922
2.812	7.890
2.815	7.857
2.818	7.822
2.820	7.784
2.823	7.745
2.825	7.704
2.827	7.662
2.830	7.619
2.832	7.575
2.834	7.530
2.836	7.485
2.838	7.440
2.840	7.395
2.841	7.349
2.843	7.304
2.845	7.258
2.846	7.212
2.848	7.165
2.850	7.118
2.853	7.069
2.856	7.020
2.859	6.971
2.863	6.920
2.866	6.868
2.870	6.816
2.874	6.764
2.878	6.711
2.882	6.658
2.886	6.605
2.889	6.552
2.891	6.499
2.893	6.447
2.893	6.395
2.893	6.345
2.893	6.295
2.891	6.246
2.890	6.199
2.889	6.153
2.889	6.109
2.890	6.067
2.892	6.027
2.895	5.990
2.901	5.955
2.909	5.923
2.918	5.893
2.929	5.864
2.941	5.836
2.952	5.809
2.963	5.781
2.974	5.752
2.983	5.721
2.991	5.689
2.997	5.657
3.003	5.623
3.007	5.588
3.011	5.552
3.013	5.515
3.015	5.478
3.016	5.440
3.017	5.402
3.017	5.363
3.016	5.325
3.016	5.286
3.015	5.247
3.014	5.208
3.014	5.170
3.014	5.131
3.014	5.093
3.014	5.054
3.014	5.015
3.014	4.975
3.015	4.934
3.015	4.892
3.014	4.849
3.014	4.804
3.013	4.757
3.012	4.709
3.010	4.661
3.008	4.612
3.006	4.565
3.004	4.518
3.001	4.473
2.998	4.430
2.995	4.390
2.992	4.353
2.989	4.320
2.986	4.290
2.985	4.265
2.986	4.243
2.990	4.225
2.998	4.211
3.009	4.199
3.023	4.187
3.036	4.171
3.050	4.150
3.062	4.123
3.073	4.091
3.084	4.055
3.092	4.017
3.100	3.978
3.107	3.938
3.112	3.900
3.116	3.864
3.118	3.830
3.120	3.798
3.121	3.767
3.121	3.736
3.121	3.704
3.121	3.671
3.120	3.637
3.120	3.600
3.120	3.561
3.120	3.521
3.119	3.480
3.119	3.439
3.118	3.398
3.116	3.357
3.114	3.317
3.111	3.279
3.108	3.242
3.105	3.206
3.101	3.171
3.098	3.137
3.095	3.104
3.093	3.072
3.092	3.041
3.092	3.009
3.093	2.978
3.094	2.946
3.095	2.914
3.096	2.881
3.095	2.846
3.093	2.810
3.089	2.772
3.082	2.732
3.074	2.693
3.065	2.654
3.055	2.618
3.044	2.585
3.033	2.556
3.022	2.533
3.011	2.517
3.000	2.504
2.989	2.493
2.977	2.480
2.965	2.465
2.952	2.448
2.937	2.431
2.922	2.416
2.906	2.407
2.888	2.402
2.870	2.403
2.852	2.408
2.833	2.417
2.815	2.431
2.798	2.447
2.782	2.467
2.768	2.488
2.755	2.511
2.743	2.535
2.733	2.559
2.724	2.585
2.714	2.612
2.704	2.640
2.694	2.669
2.682	2.699
2.669	2.731
2.655	2.763
2.640	2.796
2.625	2.830
2.610	2.865
2.595	2.901
2.580	2.938
2.566	2.976
2.552	3.015
2.539	3.055
2.526	3.095
2.513	3.136
2.501	3.177
2.489	3.219
2.477	3.262
2.465	3.304
2.453	3.347
2.442	3.390
2.431	3.432
2.420	3.475
2.409	3.518
2.398	3.561
2.387	3.604
2.376	3.647
2.366	3.690
2.356	3.733
2.345	3.775
2.335	3.817
2.326	3.860
2.316	3.902
2.306	3.945
2.297	3.988
2.288	4.032
2.279	4.076
2.270	4.121
2.262	4.167
2.253	4.214
2.245	4.262
2.237	4.310
2.229	4.360
2.222	4.410
