X	Y
3.047	12.459
3.080	12.442
3.110	12.421
3.137	12.397
3.161	12.371
3.181	12.343
3.196	12.314
3.207	12.285
3.213	12.256
3.216	12.226
3.216	12.194
3.215	12.160
3.212	12.124
3.210	12.084
3.207	12.042
3.205	11.998
3.204	11.952
3.204	11.906
3.205	11.861
3.207	11.816
3.211	11.773
3.216	11.732
3.223	11.693
3.231	11.656
3.238	11.619
3.246	11.582
3.253	11.545
3.258	11.506
3.261	11.464
3.262	11.421
3.262	11.376
3.260	11.330
3.258	11.284
3.255	11.237
3.252	11.190
3.249	11.144
3.246	11.099
3.244	11.056
3.243	11.013
3.242	10.972
3.242	10.931
3.243	10.890
3.244	10.849
3.246	10.809
3.250	10.767
3.253	10.726
3.257	10.683
3.262	10.640
3.267	10.595
3.271	10.550
3.276	10.503
3.281	10.455
3.285	10.405
3.288	10.354
3.292	10.301
3.295	10.246
3.297	10.191
3.299	10.133
3.301	10.075
3.303	10.015
3.304	9.953
3.305	9.891
3.306	9.827
3.307	9.762
3.307	9.697
3.307	9.632
3.307	9.566
3.307	9.502
3.307	9.439
3.307	9.378
3.307	9.319
3.307	9.264
3.306	9.211
3.306	9.162
3.306	9.118
3.305	9.076
3.305	9.036
3.305	8.996
3.305	8.955
3.305	8.913
3.305	8.866
3.306	8.815
3.307	8.759
3.308	8.698
3.309	8.634
3.311	8.567
3.313	8.498
3.315	8.429
3.317	8.361
3.320	8.294
3.322	8.230
3.325	8.170
3.328	8.115
3.331	8.065
3.335	8.021
3.338	7.981
3.343	7.944
3.348	7.908
3.353	7.873
3.360	7.836
3.368	7.796
3.377	7.754
3.386	7.708
3.397	7.661
3.407	7.613
3.417	7.564
3.427	7.516
3.437	7.469
3.445	7.423
3.452	7.380
3.458	7.339
3.462	7.301
3.464	7.266
3.464	7.234
3.462	7.206
3.457	7.180
3.449	7.157
3.441	7.135
3.432	7.112
3.425	7.087
3.420	7.059
3.417	7.026
3.416	6.991
3.417	6.952
3.418	6.912
3.421	6.870
3.423	6.826
3.426	6.782
3.428	6.737
3.430	6.692
3.432	6.647
3.434	6.602
3.436	6.557
3.438	6.512
3.441	6.469
3.443	6.426
3.446	6.383
3.449	6.340
3.452	6.297
3.454	6.251
3.456	6.204
3.458	6.153
3.459	6.100
3.459	6.042
3.458	5.979
3.456	5.913
3.453	5.844
3.450	5.772
3.446	5.699
3.441	5.625
3.436	5.550
3.430	5.477
3.424	5.405
3.418	5.335
3.411	5.268
3.404	5.206
3.397	5.147
3.390	5.093
3.383	5.043
3.375	4.995
3.368	4.950
3.360	4.905
3.352	4.860
3.343	4.814
3.334	4.767
3.325	4.716
3.315	4.663
3.305	4.607
3.294	4.549
3.283	4.491
3.271	4.432
3.259	4.373
3.247	4.315
3.234	4.258
3.220	4.204
3.206	4.153
3.191	4.104
3.176	4.059
3.160	4.017
3.144	3.977
3.128	3.939
3.110	3.902
3.093	3.867
3.075	3.832
3.056	3.799
3.038	3.766
3.018	3.736
2.998	3.708
2.978	3.683
2.957	3.662
2.936	3.646
2.914	3.634
2.892	3.627
2.869	3.624
2.847	3.625
2.826	3.629
2.806	3.638
2.788	3.649
2.773	3.662
2.762	3.678
2.754	3.697
2.748	3.720
2.744	3.747
2.741	3.778
2.739	3.813
2.737	3.852
2.735	3.893
2.733	3.937
2.730	3.983
2.725	4.030
2.719	4.079
2.712	4.128
2.705	4.178
2.697	4.228
2.690	4.278
2.683	4.327
2.676	4.374
2.671	4.420
2.667	4.464
2.665	4.506
2.663	4.547
