X,Y
201.000,510.000
199.194,509.103
197.415,507.987
195.674,506.685
193.985,505.226
192.358,503.642
190.805,501.965
189.338,500.224
187.969,498.451
186.708,496.676
185.569,494.932
184.562,493.248
183.697,491.636
182.985,490.090
182.432,488.601
182.047,487.161
181.840,485.761
181.818,484.392
181.990,483.047
182.358,481.715
182.886,480.377
183.531,479.013
184.250,477.601
184.999,476.120
185.733,474.550
186.410,472.869
186.985,471.057
187.423,469.099
187.730,467.009
187.920,464.808
188.008,462.517
188.011,460.158
187.942,457.752
187.817,455.320
187.651,452.884
187.460,450.466
187.259,448.085
187.062,445.765
186.885,443.524
186.731,441.363
186.598,439.270
186.483,437.233
186.383,435.240
186.295,433.279
186.218,431.338
186.147,429.405
186.081,427.467
186.017,425.512
185.952,423.530
185.889,421.521
185.831,419.493
185.785,417.453
185.753,415.407
185.741,413.363
185.752,411.327
185.793,409.307
185.866,407.310
185.976,405.343
186.128,403.411
186.320,401.505
186.549,399.608
186.812,397.707
187.106,395.786
187.429,393.829
187.776,391.822
188.146,389.749
188.534,387.594
188.939,385.343
189.356,382.984
189.780,380.532
190.205,378.011
190.624,375.446
191.030,372.862
191.417,370.282
191.780,367.732
192.110,365.236
192.402,362.819
192.650,360.504
192.846,358.317
192.985,356.283
193.062,354.418
193.087,352.699
193.075,351.087
193.041,349.543
193.000,348.026
192.969,346.497
192.961,344.917
192.992,343.245
193.075,341.448
193.209,339.522
193.388,337.477
193.608,335.321
193.861,333.064
194.142,330.714
194.446,328.281
194.767,325.773
195.098,323.200
195.434,320.570
195.769,317.893
196.098,315.177
196.416,312.431
196.723,309.662
197.016,306.875
197.294,304.079
197.558,301.278
197.805,298.481
198.034,295.692
198.245,292.920
198.436,290.171
198.607,287.451
198.755,284.767
198.881,282.126
198.982,279.533
199.059,276.996
199.115,274.509
199.158,272.067
199.194,269.661
199.229,267.285
199.270,264.932
199.324,262.593
199.397,260.262
199.496,257.932
199.627,255.594
199.798,253.243
200.013,250.870
200.279,248.470
200.592,246.042
200.949,243.585
201.347,241.099
201.781,238.585
202.248,236.041
202.744,233.469
203.266,230.867
203.810,228.236
204.371,225.575
204.947,222.884
205.533,220.164
206.126,217.414
206.724,214.643
207.325,211.883
207.931,209.168
208.541,206.530
209.156,204.005
209.775,201.624
210.399,199.423
211.028,197.435
211.662,195.693
212.300,194.231
212.944,193.083
213.599,192.278
214.295,191.826
215.073,191.728
215.972,191.987
217.019,192.596
218.187,193.515
219.433,194.692
220.715,196.077
221.989,197.619
223.212,199.267
224.342,200.970
225.336,202.677
226.152,204.338
226.768,205.923
227.211,207.451
227.513,208.948
227.706,210.437
227.823,211.944
227.897,213.494
227.960,215.112
228.044,216.821
228.164,218.629
228.315,220.522
228.494,222.487
228.696,224.510
228.916,226.577
229.149,228.676
229.392,230.791
229.639,232.910
229.886,235.019
230.128,237.105
230.363,239.161
230.591,241.189
230.812,243.190
231.026,245.166
231.231,247.117
231.429,249.045
231.619,250.950
231.800,252.836
231.973,254.702
232.137,256.550
232.292,258.382
232.436,260.200
232.567,262.007
232.685,263.803
232.789,265.591
232.876,267.374
232.946,269.153
232.998,270.931
233.031,272.709
233.048,274.489
233.052,276.273
233.046,278.064
233.035,279.862
233.021,281.670
233.008,283.489
233.000,285.322
233.000,287.170
233.011,289.031
233.028,290.893
233.047,292.741
233.064,294.560
233.075,296.337
233.075,298.056
233.060,299.703
233.026,301.262
232.968,302.721
232.895,304.090
232.826,305.402
232.779,306.692
232.775,307.995
232.832,309.345
232.971,310.778
233.207,312.322
233.531,313.980
233.923,315.743
234.366,317.599
234.840,319.540
235.327,321.557
235.808,323.639
236.263,325.776
236.676,327.959
237.025,330.179
237.299,332.427
237.500,334.694
237.633,336.977
237.705,339.267
237.722,341.558
237.690,343.845
237.615,346.121
237.502,348.379
237.358,350.613
237.189,352.818
237.001,354.985
236.800,357.111
236.588,359.196
236.371,361.240
236.150,363.246
235.929,365.214
235.713,367.145
235.503,369.043
235.304,370.906
235.119,372.738
234.951,374.539
234.802,376.314
234.669,378.073
234.549,379.827
234.440,381.586
234.338,383.361
234.242,385.162
234.149,387.000
234.055,388.886
233.959,390.829
233.856,392.834
233.745,394.897
233.622,397.012
233.483,399.176
233.325,401.384
233.146,403.630
232.942,405.911
232.710,408.221
232.447,410.557
232.149,412.913
231.814,415.284
231.445,417.665
231.052,420.048
230.643,422.426
230.229,424.790
229.819,427.134
229.423,429.450
229.049,431.730
228.708,433.966
228.408,436.152
228.160,438.279
227.973,440.341
227.851,442.334
227.785,444.268
227.765,446.153
227.779,448.000
227.818,449.820
227.870,451.623
227.925,453.422
227.972,455.226
228.000,457.046
228.003,458.891
227.985,460.760
227.954,462.649
227.920,464.557
227.888,466.479
227.869,468.413
227.870,470.355
227.899,472.303
227.964,474.254
228.072,476.204
228.205,478.142
228.331,480.052
228.414,481.919
228.420,483.725
228.314,485.456
228.063,487.093
227.631,488.622
226.985,490.027
226.105,491.299
225.037,492.465
223.837,493.559
222.564,494.615
221.276,495.668
220.031,496.750
218.887,497.897
217.902,499.142
217.108,500.500
216.458,501.937
215.893,503.406
215.353,504.861
214.780,506.257
214.112,507.548
213.291,508.689
212.261,509.635
211.023,510.369
209.608,510.884
208.048,511.174
206.375,511.237
204.621,511.065
202.819,510.654
201.000,510.000
