X,Y
196.000,455.000
194.665,453.877
193.355,452.465
192.081,450.801
190.854,448.924
189.684,446.869
188.582,444.674
187.559,442.378
186.625,440.016
185.791,437.626
185.069,435.246
184.464,432.908
183.969,430.614
183.566,428.360
183.240,426.138
182.975,423.943
182.755,421.769
182.566,419.608
182.389,417.456
182.211,415.306
182.015,413.151
181.788,410.987
181.531,408.809
181.250,406.615
180.951,404.404
180.638,402.171
180.318,399.916
179.996,397.635
179.677,395.325
179.368,392.986
179.072,390.612
178.797,388.204
178.542,385.762
178.308,383.288
178.093,380.787
177.896,378.260
177.717,375.710
177.555,373.141
177.409,370.555
177.278,367.956
177.162,365.345
177.060,362.727
176.971,360.104
176.895,357.479
176.832,354.857
176.783,352.242
176.749,349.639
176.731,347.052
176.729,344.485
176.745,341.944
176.779,339.431
176.831,336.952
176.903,334.512
176.995,332.113
177.108,329.762
177.243,327.460
177.399,325.211
177.579,323.016
177.781,320.880
178.007,318.804
178.257,316.791
178.531,314.844
178.831,312.966
179.156,311.159
179.505,309.413
179.872,307.708
180.252,306.021
180.640,304.330
181.031,302.613
181.420,300.848
181.802,299.013
182.171,297.086
182.525,295.061
182.864,292.945
183.187,290.747
183.495,288.477
183.788,286.143
184.065,283.754
184.326,281.319
184.571,278.848
184.800,276.350
185.014,273.832
185.212,271.304
185.396,268.767
185.571,266.223
185.738,263.675
185.900,261.124
186.060,258.571
186.222,256.019
186.387,253.469
186.558,250.923
186.739,248.382
186.932,245.850
187.139,243.326
187.362,240.809
187.597,238.293
187.843,235.773
188.099,233.245
188.363,230.702
188.633,228.140
188.907,225.553
189.184,222.937
189.462,220.286
189.739,217.596
190.014,214.860
190.285,212.076
190.555,209.253
190.825,206.398
191.100,203.521
191.380,200.631
191.669,197.738
191.968,194.850
192.282,191.976
192.611,189.127
192.959,186.310
193.327,183.535
193.720,180.812
194.138,178.149
194.581,175.550
195.045,173.011
195.523,170.527
196.009,168.093
196.498,165.703
196.984,163.354
197.461,161.038
197.924,158.753
198.365,156.491
198.781,154.249
199.165,152.022
199.526,149.831
199.890,147.724
200.283,145.753
200.733,143.968
201.264,142.420
201.905,141.160
202.682,140.239
203.618,139.701
204.696,139.502
205.873,139.541
207.103,139.714
208.342,139.915
209.547,140.046
210.704,140.091
211.834,140.136
212.961,140.272
214.106,140.587
215.294,141.172
216.529,142.073
217.783,143.255
219.025,144.672
220.220,146.278
221.339,148.029
222.347,149.877
223.213,151.778
223.904,153.685
224.396,155.560
224.707,157.401
224.876,159.227
224.942,161.053
224.942,162.896
224.916,164.772
224.901,166.699
224.935,168.693
225.057,170.770
225.282,172.934
225.593,175.171
225.973,177.465
226.403,179.802
226.863,182.166
227.336,184.541
227.803,186.913
228.245,189.265
228.644,191.583
228.980,193.851
229.240,196.057
229.423,198.206
229.535,200.307
229.583,202.368
229.572,204.401
229.508,206.413
229.398,208.415
229.246,210.415
229.059,212.424
228.843,214.449
228.605,216.491
228.354,218.547
228.099,220.611
227.849,222.680
227.611,224.750
227.394,226.816
227.208,228.875
227.060,230.922
226.959,232.953
226.904,234.967
226.887,236.962
226.897,238.938
226.924,240.896
226.959,242.835
226.990,244.754
227.009,246.654
227.006,248.534
226.971,250.394
226.912,252.242
226.844,254.086
226.781,255.935
226.739,257.799
226.731,259.688
226.772,261.610
226.878,263.575
227.062,265.592
227.326,267.661
227.642,269.767
227.983,271.892
228.322,274.020
228.630,276.132
228.879,278.212
229.041,280.242
229.088,282.206
228.992,284.085
228.739,285.869
228.361,287.570
227.902,289.204
227.404,290.787
226.910,292.337
226.463,293.868
226.106,295.397
225.879,296.942
225.781,298.512
225.778,300.118
225.836,301.767
225.922,303.468
226.000,305.229
226.038,307.059
226.001,308.966
225.865,310.956
225.638,313.025
225.342,315.165
224.998,317.369
224.624,319.628
224.242,321.937
223.872,324.286
223.533,326.669
223.247,329.078
223.033,331.505
222.908,333.943
222.870,336.370
222.904,338.762
222.998,341.095
223.137,343.344
223.309,345.484
223.499,347.490
223.696,349.338
223.885,351.003
224.053,352.461
224.184,353.722
224.260,354.855
224.260,355.929
224.167,357.016
223.961,358.186
223.635,359.489
223.220,360.910
222.749,362.428
222.256,364.020
221.777,365.664
221.346,367.337
220.997,369.018
220.756,370.685
220.619,372.319
220.574,373.903
220.608,375.418
220.710,376.847
220.868,378.171
221.069,379.374
221.298,380.462
221.533,381.481
221.753,382.480
221.935,383.510
222.059,384.618
222.106,385.820
222.061,387.105
221.911,388.459
221.640,389.869
221.235,391.323
220.682,392.808
220.001,394.318
219.242,395.851
218.454,397.408
217.688,398.989
216.995,400.591
216.423,402.216
216.024,403.861
215.835,405.524
215.833,407.179
215.971,408.794
216.207,410.337
216.495,411.778
216.791,413.085
217.050,414.226
217.231,415.205
217.305,416.099
217.240,416.995
217.006,417.981
216.587,419.125
216.024,420.418
215.371,421.830
214.686,423.331
214.022,424.891
213.437,426.478
212.985,428.065
212.702,429.628
212.554,431.181
212.492,432.742
212.464,434.331
212.422,435.965
212.316,437.665
212.095,439.449
211.714,441.333
211.166,443.291
210.467,445.274
209.633,447.235
208.682,449.123
207.628,450.891
206.490,452.490
205.283,453.870
204.023,454.983
202.726,455.787
201.402,456.273
200.059,456.438
198.706,456.282
197.350,455.803
196.000,455.000
