X,Y
173.000,471.000
171.727,469.981
170.684,468.566
169.850,466.824
169.202,464.825
168.719,462.637
168.377,460.331
168.157,457.976
168.034,455.641
167.987,453.397
167.995,451.311
168.036,449.443
168.093,447.775
168.150,446.262
168.193,444.856
168.207,443.512
168.176,442.182
168.086,440.821
167.921,439.382
167.677,437.840
167.366,436.197
166.998,434.454
166.583,432.613
166.134,430.678
165.660,428.649
165.173,426.530
164.684,424.323
164.204,422.029
163.744,419.652
163.307,417.204
162.894,414.703
162.504,412.169
162.136,409.623
161.790,407.083
161.464,404.569
161.158,402.100
160.871,399.697
160.603,397.379
160.353,395.165
160.120,393.075
159.903,391.127
159.704,389.314
159.524,387.597
159.366,385.935
159.233,384.289
159.126,382.619
159.049,380.884
159.003,379.044
158.992,377.060
159.017,374.892
159.078,372.537
159.170,370.024
159.289,367.386
159.432,364.655
159.593,361.860
159.770,359.036
159.957,356.213
160.151,353.422
160.347,350.696
160.541,348.067
160.729,345.566
160.907,343.224
161.071,341.073
161.219,339.111
161.353,337.301
161.475,335.604
161.588,333.979
161.693,332.388
161.791,330.790
161.886,329.147
161.979,327.418
162.071,325.568
162.169,323.602
162.275,321.543
162.397,319.414
162.538,317.238
162.705,315.040
162.902,312.841
163.135,310.666
163.409,308.537
163.728,306.479
164.099,304.514
164.520,302.651
164.979,300.875
165.464,299.167
165.960,297.506
166.454,295.874
166.933,294.251
167.384,292.618
167.793,290.956
168.147,289.245
168.444,287.477
168.692,285.655
168.903,283.783
169.085,281.865
169.249,279.905
169.405,277.906
169.564,275.873
169.734,273.810
169.927,271.720
170.152,269.607
170.409,267.469
170.696,265.302
171.007,263.100
171.340,260.859
171.689,258.573
172.051,256.238
172.423,253.849
172.798,251.401
173.175,248.888
173.548,246.306
173.914,243.650
174.268,240.916
174.610,238.111
174.941,235.246
175.259,232.332
175.566,229.382
175.861,226.406
176.146,223.417
176.419,220.425
176.682,217.443
176.934,214.482
177.176,211.554
177.408,208.670
177.630,205.841
177.842,203.080
178.045,200.398
178.241,197.799
178.432,195.277
178.625,192.822
178.823,190.424
179.031,188.075
179.254,185.764
179.495,183.483
179.761,181.222
180.054,178.971
180.380,176.722
180.744,174.465
181.149,172.191
181.598,169.898
182.089,167.599
182.621,165.307
183.192,163.033
183.800,160.791
184.444,158.593
185.122,156.452
185.831,154.380
186.571,152.390
187.340,150.495
188.136,148.707
188.959,147.043
189.816,145.525
190.714,144.181
191.659,143.033
192.659,142.109
193.721,141.433
194.852,141.030
196.055,140.919
197.318,141.082
198.620,141.484
199.941,142.094
201.261,142.878
202.560,143.805
203.819,144.840
205.018,145.955
206.146,147.140
207.193,148.393
208.150,149.713
209.009,151.099
209.760,152.550
210.395,154.062
210.903,155.636
211.280,157.269
211.537,158.958
211.698,160.701
211.786,162.493
211.825,164.331
211.838,166.212
211.846,168.133
211.875,170.089
211.947,172.078
212.083,174.095
212.288,176.136
212.549,178.194
212.853,180.263
213.186,182.334
213.535,184.403
213.886,186.461
214.227,188.502
214.543,190.520
214.821,192.507
215.048,194.458
215.217,196.369
215.331,198.252
215.395,200.115
215.415,201.970
215.396,203.828
215.343,205.697
215.262,207.591
215.157,209.517
215.034,211.488
214.898,213.512
214.750,215.584
214.591,217.693
214.422,219.827
214.241,221.973
214.050,224.119
213.849,226.255
213.637,228.367
213.416,230.444
213.185,232.474
212.944,234.446
212.695,236.352
212.443,238.203
212.192,240.008
211.946,241.777
211.711,243.520
211.491,245.246
211.290,246.966
211.114,248.690
210.967,250.427
210.852,252.185
210.768,253.965
210.716,255.765
210.693,257.588
210.699,259.433
210.734,261.301
210.797,263.191
210.887,265.104
211.003,267.040
211.142,269.000
211.298,270.987
211.462,273.004
211.623,275.057
211.775,277.147
211.907,279.279
212.010,281.456
212.077,283.682
212.098,285.960
212.063,288.295
211.965,290.690
211.801,293.141
211.582,295.631
211.320,298.143
211.026,300.658
210.713,303.159
210.392,305.628
210.074,308.048
209.773,310.399
209.498,312.664
209.263,314.826
209.079,316.866
208.958,318.767
208.899,320.530
208.888,322.176
208.910,323.731
208.948,325.218
208.988,326.661
209.014,328.085
209.010,329.513
208.963,330.968
208.864,332.457
208.711,333.973
208.503,335.511
208.236,337.066
207.910,338.633
207.522,340.205
207.069,341.779
206.553,343.348
205.992,344.913
205.410,346.478
204.834,348.044
204.289,349.613
203.798,351.189
203.389,352.774
203.085,354.370
202.910,355.980
202.854,357.605
202.884,359.245
202.965,360.900
203.064,362.570
203.145,364.257
203.176,365.959
203.121,367.677
202.946,369.412
202.638,371.162
202.224,372.924
201.733,374.693
201.199,376.467
200.652,378.241
200.124,380.011
199.646,381.773
199.249,383.525
198.966,385.260
198.811,386.979
198.762,388.680
198.789,390.367
198.862,392.041
198.952,393.703
199.028,395.356
199.061,397.001
199.021,398.639
198.883,400.274
198.651,401.910
198.344,403.556
197.980,405.219
197.580,406.906
197.162,408.626
196.745,410.386
196.348,412.193
195.990,414.055
195.687,415.977
195.438,417.958
195.239,419.992
195.087,422.076
194.978,424.204
194.909,426.374
194.875,428.579
194.873,430.817
194.900,433.083
194.951,435.372
195.023,437.681
195.105,440.003
195.173,442.329
195.201,444.653
195.163,446.964
195.036,449.254
194.792,451.514
194.408,453.736
193.857,455.912
193.114,458.032
192.154,460.088
190.951,462.071
189.495,463.968
187.826,465.744
185.995,467.360
184.054,468.779
182.055,469.963
180.049,470.872
178.090,471.468
176.227,471.714
174.513,471.571
173.000,471.000
