X	Y
3.115	11.697
3.133	11.679
3.152	11.659
3.172	11.638
3.194	11.618
3.218	11.597
3.244	11.578
3.272	11.560
3.301	11.543
3.332	11.528
3.363	11.514
3.393	11.501
3.420	11.488
3.442	11.473
3.457	11.457
3.467	11.438
3.472	11.414
3.474	11.383
3.474	11.347
3.471	11.307
3.467	11.263
3.462	11.216
3.456	11.169
3.449	11.121
3.443	11.074
3.436	11.027
3.431	10.981
3.427	10.937
3.425	10.893
3.424	10.850
3.426	10.809
3.430	10.769
3.434	10.732
3.439	10.697
3.442	10.664
3.444	10.633
3.445	10.605
3.446	10.577
3.448	10.550
3.451	10.521
3.455	10.491
3.460	10.459
3.464	10.425
3.467	10.390
3.470	10.352
3.472	10.314
3.474	10.274
3.478	10.235
3.483	10.197
3.491	10.160
3.502	10.125
3.514	10.092
3.527	10.063
3.539	10.037
3.550	10.014
3.560	9.993
3.567	9.972
3.572	9.948
3.573	9.922
3.567	9.896
3.552	9.873
3.526	9.853
3.494	9.837
3.459	9.821
3.428	9.805
3.404	9.786
3.391	9.763
3.387	9.736
3.387	9.706
3.388	9.675
3.387	9.641
3.385	9.606
3.382	9.569
3.379	9.531
3.376	9.490
3.374	9.449
3.374	9.406
3.375	9.362
3.377	9.318
3.381	9.275
3.386	9.234
3.393	9.194
3.402	9.155
3.410	9.117
3.417	9.080
3.422	9.042
3.424	9.003
3.423	8.963
3.420	8.922
3.418	8.882
3.417	8.842
3.421	8.803
3.430	8.767
3.445	8.732
3.463	8.698
3.482	8.664
3.500	8.629
3.516	8.592
3.527	8.552
3.534	8.510
3.539	8.466
3.541	8.419
3.543	8.371
3.544	8.321
3.547	8.269
3.550	8.216
3.555	8.163
3.560	8.108
3.566	8.054
3.571	7.999
3.576	7.945
3.581	7.892
3.585	7.840
3.588	7.789
3.590	7.738
3.592	7.688
3.593	7.637
3.593	7.586
3.594	7.534
3.594	7.480
3.594	7.426
3.594	7.371
3.594	7.318
3.593	7.267
3.593	7.219
3.594	7.175
3.594	7.137
3.595	7.103
3.597	7.073
3.600	7.044
3.606	7.014
3.613	6.982
3.622	6.947
3.632	6.908
3.643	6.866
3.652	6.819
3.660	6.768
3.666	6.712
3.670	6.652
3.672	6.589
3.672	6.523
3.672	6.456
3.671	6.388
3.669	6.320
3.668	6.253
3.667	6.188
3.666	6.125
3.666	6.065
3.666	6.008
3.666	5.954
3.665	5.902
3.663	5.853
3.659	5.806
3.653	5.763
3.645	5.721
3.636	5.681
3.626	5.641
3.616	5.600
3.607	5.557
3.599	5.512
3.594	5.462
3.590	5.409
3.588	5.354
3.586	5.295
3.585	5.235
3.583	5.173
3.581	5.110
3.577	5.046
3.571	4.981
3.564	4.917
3.556	4.854
3.546	4.791
3.534	4.730
3.522	4.671
3.510	4.614
3.497	4.560
3.483	4.509
3.470	4.461
3.456	4.417
3.442	4.374
3.428	4.333
3.413	4.293
3.398	4.253
3.383	4.213
3.367	4.172
3.350	4.131
3.334	4.089
3.316	4.045
3.299	4.000
3.281	3.954
3.263	3.907
3.244	3.861
3.225	3.816
3.203	3.775
3.179	3.739
3.154	3.710
3.125	3.689
3.094	3.675
3.063	3.667
3.033	3.663
3.006	3.660
2.982	3.659
2.961	3.663
2.943	3.675
2.928	3.696
2.916	3.726
2.906	3.760
2.899	3.798
2.895	3.835
2.894	3.872
2.894	3.909
2.894	3.948
2.896	3.990
2.897	4.035
2.897	4.086
2.896	4.142
2.894	4.200
2.892	4.261
2.889	4.322
2.886	4.383
2.883	4.441
2.880	4.496
2.878	4.547
2.876	4.593
2.874	4.638
2.873	4.682
2.871	4.729
2.870	4.780
2.868	4.839
2.866	4.906
2.863	4.982
2.859	5.067
2.855	5.158
2.851	5.254
2.847	5.354
2.842	5.455
2.837	5.557
2.833	5.657
2.828	5.754
2.823	5.846
2.819	5.932
2.814	6.010
2.810	6.079
2.807	6.139
2.803	6.192
2.800	6.239
2.797	6.284
2.793	6.327
2.790	6.371
2.786	6.418
2.783	6.470
2.779	6.525
2.775	6.583
2.771	6.644
2.767	6.709
2.762	6.775
2.758	6.844
2.753	6.914
2.749	6.985
2.745	7.058
2.740	7.131
2.736	7.204
2.731	7.278
2.727	7.350
2.723	7.422
2.719	7.493
2.715	7.562
2.711	7.628
2.708	7.693
2.704	7.755
2.701	7.815
2.697	7.875
2.694	7.933
2.691	7.991
2.687	8.050
2.683	8.110
2.679	8.172
2.675	8.235
2.671	8.301
2.666	8.368
2.661	8.437
2.657	8.507
2.652	8.579
2.648	8.651
2.644	8.723
2.640	8.796
2.637	8.869
2.634	8.941
2.632	9.014
2.630	9.086
2.629	9.157
2.629	9.229
