X,Y
189.000,427.000
187.993,426.113
187.248,424.903
186.733,423.408
186.416,421.663
186.262,419.705
186.239,417.572
186.315,415.300
186.456,412.924
186.630,410.483
186.803,408.013
186.943,405.550
187.017,403.131
187.010,400.774
186.928,398.470
186.783,396.211
186.583,393.985
186.340,391.784
186.062,389.597
185.760,387.414
185.443,385.226
185.121,383.022
184.805,380.792
184.504,378.527
184.228,376.216
183.986,373.850
183.786,371.422
183.626,368.938
183.500,366.406
183.404,363.833
183.333,361.229
183.283,358.600
183.249,355.954
183.226,353.301
183.211,350.647
183.198,348.000
183.182,345.369
183.160,342.762
183.126,340.187
183.076,337.650
183.005,335.162
182.911,332.726
182.794,330.338
182.658,327.988
182.508,325.667
182.346,323.365
182.177,321.073
182.005,318.781
181.832,316.482
181.663,314.164
181.501,311.819
181.350,309.437
181.213,307.010
181.095,304.527
180.999,301.980
180.928,299.363
180.879,296.683
180.851,293.951
180.839,291.179
180.842,288.376
180.856,285.555
180.878,282.725
180.907,279.899
180.938,277.086
180.969,274.298
180.997,271.546
181.019,268.841
181.033,266.193
181.036,263.614
181.024,261.114
180.995,258.705
180.949,256.391
180.890,254.164
180.824,252.011
180.759,249.921
180.701,247.880
180.655,245.877
180.628,243.899
180.627,241.935
180.657,239.972
180.726,237.999
180.839,236.002
181.003,233.971
181.222,231.894
181.493,229.774
181.813,227.613
182.176,225.414
182.578,223.180
183.015,220.915
183.482,218.621
183.975,216.302
184.489,213.961
185.020,211.600
185.563,209.223
186.115,206.833
186.670,204.433
187.224,202.027
187.777,199.633
188.336,197.289
188.907,195.035
189.496,192.910
190.111,190.953
190.757,189.203
191.442,187.701
192.171,186.484
192.951,185.593
193.789,185.068
194.690,184.939
195.647,185.187
196.648,185.761
197.679,186.613
198.729,187.691
199.784,188.948
200.832,190.332
201.861,191.796
202.858,193.294
203.813,194.813
204.719,196.352
205.565,197.909
206.345,199.484
207.049,201.075
207.669,202.681
208.196,204.300
208.621,205.931
208.937,207.573
209.136,209.224
209.232,210.885
209.246,212.556
209.201,214.237
209.121,215.929
209.026,217.632
208.941,219.347
208.888,221.074
208.889,222.814
208.967,224.567
209.141,226.333
209.407,228.109
209.749,229.889
210.148,231.666
210.587,233.435
211.049,235.191
211.518,236.927
211.975,238.638
212.403,240.317
212.785,241.960
213.105,243.561
213.355,245.121
213.544,246.655
213.682,248.179
213.780,249.706
213.846,251.253
213.891,252.833
213.925,254.463
213.957,256.158
213.998,257.932
214.056,259.795
214.129,261.736
214.215,263.738
214.310,265.783
214.411,267.854
214.515,269.932
214.618,272.001
214.718,274.043
214.811,276.040
214.894,277.975
214.963,279.830
215.016,281.587
215.051,283.246
215.071,284.824
215.078,286.344
215.075,287.828
215.065,289.297
215.049,290.774
215.030,292.279
215.012,293.834
214.996,295.461
214.984,297.169
214.976,298.944
214.971,300.768
214.970,302.626
214.970,304.500
214.973,306.374
214.978,308.232
214.984,310.056
214.991,311.830
214.998,313.537
215.005,315.163
215.012,316.718
215.018,318.222
215.022,319.697
215.024,321.166
215.024,322.649
215.021,324.170
215.015,325.749
215.005,327.410
214.990,329.171
214.972,331.033
214.952,332.985
214.932,335.013
214.913,337.106
214.897,339.251
214.887,341.434
214.883,343.644
214.887,345.869
214.901,348.095
214.926,350.310
214.965,352.502
215.018,354.659
215.086,356.774
215.167,358.854
215.257,360.908
215.353,362.942
215.453,364.964
215.553,366.981
215.652,369.002
215.745,371.033
215.829,373.083
215.903,375.158
215.964,377.267
216.007,379.417
216.031,381.609
216.037,383.835
216.024,386.081
215.992,388.336
215.941,390.589
215.872,392.826
215.785,395.037
215.679,397.209
215.555,399.330
215.413,401.389
215.253,403.374
215.076,405.272
214.879,407.072
214.651,408.777
214.366,410.395
214.001,411.937
213.532,413.415
212.935,414.838
212.185,416.217
211.259,417.562
210.133,418.885
208.783,420.195
207.203,421.493
205.433,422.751
203.523,423.937
201.521,425.018
199.476,425.964
197.435,426.742
195.447,427.321
193.562,427.668
191.826,427.751
190.289,427.539
189.000,427.000
