X,Y
190.000,410.000
188.345,409.573
186.807,408.967
185.396,408.188
184.119,407.245
182.986,406.142
182.005,404.888
181.184,403.488
180.532,401.949
180.058,400.278
179.767,398.482
179.639,396.577
179.647,394.578
179.761,392.502
179.954,390.367
180.196,388.190
180.459,385.987
180.716,383.775
180.937,381.571
181.093,379.392
181.157,377.255
181.100,375.177
180.894,373.174
180.533,371.249
180.038,369.387
179.431,367.571
178.734,365.785
177.970,364.013
177.162,362.239
176.331,360.446
175.500,358.619
174.692,356.741
173.929,354.796
173.234,352.768
172.627,350.641
172.113,348.414
171.687,346.093
171.341,343.684
171.068,341.195
170.862,338.632
170.716,336.003
170.623,333.313
170.577,330.571
170.570,327.783
170.597,324.955
170.649,322.095
170.721,319.209
170.806,316.305
170.896,313.389
170.986,310.467
171.069,307.547
171.144,304.630
171.212,301.716
171.274,298.804
171.331,295.894
171.384,292.987
171.434,290.081
171.482,287.178
171.528,284.276
171.575,281.376
171.622,278.478
171.670,275.581
171.721,272.685
171.776,269.790
171.835,266.896
171.900,264.003
171.971,261.110
172.049,258.218
172.135,255.330
172.228,252.454
172.329,249.594
172.436,246.758
172.550,243.953
172.670,241.184
172.796,238.458
172.929,235.782
173.067,233.161
173.210,230.603
173.359,228.114
173.513,225.700
173.671,223.368
173.835,221.124
174.002,218.975
174.173,216.924
174.349,214.959
174.527,213.066
174.708,211.232
174.891,209.442
175.077,207.682
175.264,205.937
175.452,204.194
175.640,202.437
175.829,200.654
176.017,198.829
176.206,196.954
176.397,195.034
176.595,193.079
176.801,191.096
177.019,189.095
177.253,187.085
177.504,185.075
177.777,183.073
178.075,181.088
178.400,179.129
178.756,177.204
179.145,175.324
179.567,173.486
180.015,171.678
180.480,169.887
180.955,168.098
181.433,166.297
181.907,164.470
182.368,162.603
182.809,160.683
183.223,158.695
183.601,156.625
183.937,154.459
184.224,152.186
184.463,149.812
184.661,147.350
184.824,144.814
184.957,142.218
185.066,139.576
185.157,136.901
185.235,134.208
185.307,131.511
185.378,128.823
185.454,126.159
185.541,123.531
185.644,120.954
185.770,118.443
185.924,116.009
186.113,113.669
186.343,111.430
186.626,109.301
186.971,107.288
187.388,105.398
187.887,103.638
188.478,102.016
189.171,100.537
189.975,99.209
190.902,98.038
191.960,97.032
193.156,96.197
194.472,95.538
195.889,95.057
197.383,94.758
198.933,94.646
200.518,94.723
202.115,94.994
203.704,95.461
205.262,96.128
206.774,96.995
208.233,98.048
209.636,99.274
210.981,100.658
212.264,102.187
213.482,103.845
214.632,105.619
215.711,107.494
216.715,109.457
217.641,111.493
218.487,113.588
219.248,115.728
219.924,117.902
220.515,120.105
221.025,122.333
221.455,124.580
221.806,126.842
222.080,129.115
222.280,131.393
222.407,133.673
222.462,135.949
222.448,138.216
222.367,140.471
222.220,142.708
222.009,144.923
221.738,147.111
221.423,149.268
221.085,151.392
220.741,153.479
220.410,155.525
220.113,157.527
219.868,159.482
219.694,161.387
219.611,163.237
219.637,165.030
219.792,166.763
220.095,168.431
220.547,170.038
221.121,171.594
221.783,173.113
222.501,174.607
223.242,176.089
223.973,177.572
224.663,179.069
225.278,180.593
225.786,182.156
226.156,183.771
226.377,185.441
226.463,187.159
226.429,188.916
226.290,190.706
226.060,192.520
225.756,194.351
225.390,196.191
224.979,198.033
224.537,199.867
224.080,201.688
223.620,203.487
223.165,205.267
222.719,207.032
222.286,208.787
221.871,210.536
221.478,212.284
221.110,214.036
220.772,215.797
220.469,217.570
220.203,219.361
219.981,221.174
219.802,223.011
219.663,224.871
219.555,226.748
219.472,228.638
219.407,230.536
219.353,232.439
219.303,234.342
219.251,236.241
219.189,238.130
219.110,240.007
219.008,241.866
218.877,243.705
218.715,245.523
218.522,247.325
218.299,249.112
218.046,250.887
217.762,252.653
217.447,254.412
217.103,256.167
216.729,257.920
216.325,259.675
215.891,261.432
215.431,263.195
214.956,264.962
214.478,266.733
214.009,268.506
213.561,270.280
213.146,272.055
212.775,273.830
212.460,275.603
212.214,277.374
212.048,279.142
211.974,280.905
211.987,282.666
212.070,284.425
212.204,286.187
212.371,287.953
212.551,289.727
212.727,291.510
212.879,293.306
212.989,295.117
213.039,296.946
213.009,298.795
212.886,300.666
212.678,302.556
212.405,304.458
212.085,306.366
211.735,308.275
211.373,310.179
211.018,312.073
210.688,313.949
210.401,315.803
210.175,317.629
210.028,319.421
209.976,321.174
210.018,322.894
210.136,324.594
210.316,326.287
210.542,327.987
210.800,329.706
211.072,331.458
211.344,333.256
211.601,335.113
211.826,337.041
212.004,339.055
212.125,341.160
212.197,343.343
212.230,345.582
212.238,347.858
212.233,350.149
212.225,352.435
212.228,354.697
212.253,356.913
212.311,359.063
212.416,361.127
212.579,363.085
212.811,364.915
213.125,366.599
213.516,368.135
213.956,369.552
214.417,370.878
214.869,372.144
215.284,373.379
215.631,374.612
215.883,375.873
216.009,377.193
215.994,378.589
215.853,380.057
215.608,381.583
215.280,383.158
214.891,384.771
214.462,386.409
214.015,388.063
213.570,389.721
213.150,391.371
212.774,393.004
212.432,394.610
212.096,396.182
211.736,397.711
211.321,399.190
210.821,400.613
210.206,401.970
209.446,403.255
208.512,404.460
207.374,405.578
206.034,406.599
204.523,407.516
202.871,408.319
201.110,408.999
199.272,409.547
197.386,409.955
195.485,410.213
193.600,410.312
191.761,410.244
190.000,410.000
