X,Y
198.000,424.000
196.767,422.817
195.684,421.546
194.738,420.191
193.913,418.758
193.197,417.252
192.575,415.677
192.033,414.039
191.556,412.343
191.132,410.594
190.746,408.797
190.392,406.957
190.065,405.080
189.762,403.171
189.480,401.236
189.216,399.281
188.966,397.311
188.728,395.331
188.497,393.348
188.270,391.366
188.045,389.391
187.818,387.427
187.590,385.466
187.366,383.494
187.148,381.497
186.939,379.461
186.743,377.373
186.563,375.218
186.402,372.983
186.263,370.655
186.151,368.218
186.067,365.660
186.015,362.966
185.999,360.124
186.019,357.130
186.071,354.004
186.152,350.764
186.257,347.432
186.382,344.027
186.524,340.568
186.677,337.076
186.839,333.571
187.004,330.073
187.170,326.601
187.331,323.176
187.484,319.818
187.625,316.546
187.749,313.380
187.853,310.341
187.933,307.448
187.984,304.721
188.002,302.181
187.989,299.827
187.952,297.636
187.901,295.577
187.844,293.622
187.791,291.743
187.750,289.910
187.731,288.096
187.742,286.272
187.793,284.408
187.892,282.477
188.048,280.450
188.264,278.312
188.531,276.074
188.839,273.750
189.178,271.354
189.538,268.899
189.909,266.399
190.280,263.869
190.642,261.320
190.985,258.769
191.298,256.227
191.572,253.709
191.796,251.229
191.960,248.801
192.056,246.436
192.091,244.140
192.084,241.910
192.053,239.743
192.016,237.636
191.993,235.589
192.002,233.598
192.061,231.660
192.188,229.774
192.403,227.938
192.724,226.147
193.169,224.401
193.739,222.695
194.408,221.018
195.151,219.363
195.939,217.719
196.745,216.078
197.543,214.430
198.304,212.767
199.003,211.078
199.611,209.355
200.101,207.588
200.460,205.773
200.699,203.911
200.834,202.006
200.879,200.062
200.850,198.082
200.763,196.070
200.632,194.029
200.473,191.963
200.300,189.875
200.130,187.769
199.977,185.648
199.851,183.516
199.749,181.373
199.667,179.222
199.599,177.064
199.541,174.900
199.487,172.732
199.433,170.561
199.373,168.389
199.303,166.217
199.218,164.046
199.112,161.878
198.981,159.715
198.823,157.557
198.642,155.405
198.445,153.260
198.239,151.123
198.028,148.993
197.821,146.872
197.623,144.759
197.440,142.656
197.278,140.562
197.144,138.479
197.045,136.407
196.986,134.346
196.969,132.299
196.991,130.271
197.047,128.267
197.131,126.294
197.238,124.356
197.365,122.459
197.506,120.608
197.656,118.810
197.810,117.069
197.964,115.391
198.116,113.783
198.290,112.267
198.527,110.871
198.864,109.625
199.340,108.555
199.994,107.693
200.864,107.065
201.981,106.695
203.317,106.574
204.825,106.680
206.457,106.991
208.164,107.485
209.901,108.140
211.617,108.935
213.267,109.848
214.803,110.857
216.183,111.942
217.412,113.098
218.513,114.324
219.505,115.620
220.411,116.985
221.252,118.419
222.048,119.921
222.822,121.491
223.595,123.128
224.386,124.832
225.204,126.596
226.042,128.412
226.890,130.269
227.742,132.157
228.589,134.065
229.423,135.983
230.237,137.902
231.023,139.810
231.772,141.699
232.478,143.556
233.131,145.373
233.727,147.145
234.269,148.885
234.759,150.603
235.201,152.315
235.598,154.032
235.953,155.767
236.269,157.534
236.549,159.346
236.797,161.214
237.016,163.153
237.208,165.169
237.375,167.251
237.519,169.386
237.641,171.558
237.742,173.752
237.824,175.955
237.889,178.152
237.937,180.328
237.971,182.468
237.992,184.558
238.000,186.584
237.999,188.531
237.988,190.395
237.973,192.190
237.955,193.932
237.939,195.638
237.926,197.323
237.920,199.005
237.925,200.699
237.943,202.421
237.978,204.187
238.032,206.014
238.103,207.902
238.181,209.843
238.260,211.825
238.330,213.839
238.383,215.873
238.411,217.918
238.405,219.963
238.358,221.998
238.261,224.012
238.106,225.995
237.884,227.937
237.597,229.838
237.257,231.707
236.876,233.553
236.465,235.386
236.037,237.217
235.603,239.054
235.176,240.907
234.767,242.787
234.388,244.703
234.052,246.664
233.768,248.680
233.536,250.747
233.351,252.861
233.208,255.016
233.102,257.206
233.029,259.425
232.983,261.667
232.960,263.926
232.954,266.198
232.961,268.475
232.976,270.752
232.993,273.024
233.008,275.285
233.017,277.529
233.016,279.751
233.002,281.948
232.972,284.114
232.921,286.244
232.847,288.334
232.745,290.379
232.613,292.374
232.447,294.314
232.243,296.195
231.998,298.013
231.710,299.765
231.383,301.466
231.021,303.132
230.629,304.782
230.213,306.432
229.776,308.100
229.325,309.802
228.864,311.556
228.397,313.380
227.931,315.290
227.469,317.295
227.016,319.385
226.578,321.543
226.158,323.756
225.761,326.009
225.391,328.286
225.054,330.573
224.754,332.855
224.495,335.117
224.282,337.344
224.120,339.522
224.013,341.635
223.964,343.672
223.970,345.633
224.021,347.529
224.110,349.367
224.228,351.157
224.368,352.906
224.520,354.624
224.678,356.320
224.832,358.001
224.975,359.677
225.098,361.356
225.199,363.045
225.277,364.749
225.329,366.474
225.354,368.226
225.351,370.011
225.319,371.835
225.256,373.703
225.160,375.621
225.030,377.595
224.866,379.629
224.666,381.717
224.433,383.846
224.168,386.004
223.872,388.179
223.547,390.358
223.192,392.531
222.811,394.684
222.403,396.806
221.970,398.885
221.514,400.908
221.035,402.863
220.536,404.741
220.019,406.547
219.491,408.289
218.957,409.976
218.420,411.615
217.886,413.217
217.359,414.789
216.845,416.340
216.349,417.879
215.874,419.414
215.415,420.939
214.944,422.419
214.429,423.816
213.841,425.095
213.149,426.217
212.323,427.145
211.333,427.842
210.153,428.274
208.799,428.441
207.313,428.365
205.738,428.068
204.115,427.570
202.488,426.893
200.898,426.058
199.388,425.086
198.000,424.000
