X	Y
2.750	2.972
2.758	2.890
2.763	2.802
2.769	2.709
2.774	2.612
2.781	2.514
2.790	2.415
2.802	2.318
2.820	2.223
2.842	2.133
2.871	2.049
2.905	1.971
2.944	1.901
2.985	1.840
3.030	1.789
3.076	1.750
3.124	1.722
3.171	1.707
3.216	1.707
3.258	1.722
3.295	1.754
3.326	1.801
3.352	1.861
3.374	1.932
3.391	2.011
3.405	2.095
3.415	2.182
3.423	2.269
3.428	2.356
3.432	2.443
3.434	2.530
3.434	2.618
3.434	2.706
3.432	2.795
3.431	2.884
3.429	2.975
3.427	3.066
3.424	3.159
3.421	3.252
3.417	3.346
3.412	3.441
3.405	3.535
3.397	3.631
3.386	3.726
3.374	3.822
3.361	3.917
3.346	4.013
3.331	4.108
3.315	4.203
3.300	4.297
3.285	4.391
3.271	4.485
3.259	4.578
3.248	4.670
3.239	4.761
3.231	4.852
3.224	4.942
3.219	5.032
3.214	5.121
3.211	5.210
3.208	5.299
3.206	5.387
3.204	5.475
3.201	5.562
3.199	5.649
3.196	5.735
3.192	5.820
3.186	5.903
3.179	5.986
3.169	6.067
3.157	6.144
3.141	6.217
3.121	6.283
3.095	6.342
3.064	6.392
3.026	6.430
2.984	6.456
2.940	6.468
2.899	6.462
2.862	6.438
2.831	6.396
2.804	6.339
2.780	6.268
2.759	6.186
2.740	6.094
2.721	5.994
2.702	5.890
2.683	5.781
2.664	5.669
2.647	5.556
2.631	5.442
2.616	5.330
2.604	5.219
2.594	5.112
2.587	5.010
2.583	4.913
2.583	4.823
2.586	4.738
2.591	4.657
2.598	4.578
2.606	4.499
2.613	4.418
2.621	4.333
2.627	4.244
2.631	4.149
2.635	4.050
2.638	3.949
2.641	3.847
2.644	3.747
2.648	3.649
2.654	3.555
2.662	3.468
2.672	3.388
2.685	3.316
2.698	3.248
2.713	3.182
2.727	3.116
2.739	3.047
2.750	2.972
