X,Y
196.000,453.000
195.126,451.973
194.267,450.613
193.427,448.970
192.608,447.092
191.815,445.027
191.050,442.823
190.318,440.529
189.621,438.193
188.963,435.865
188.346,433.581
187.773,431.345
187.244,429.153
186.761,427.002
186.325,424.887
185.937,422.805
185.598,420.752
185.310,418.724
185.072,416.717
184.887,414.726
184.748,412.744
184.643,410.757
184.560,408.753
184.488,406.721
184.416,404.648
184.332,402.522
184.223,400.331
184.080,398.062
183.890,395.704
183.655,393.261
183.382,390.749
183.083,388.186
182.767,385.588
182.445,382.973
182.126,380.358
181.821,377.760
181.539,375.196
181.291,372.684
181.086,370.241
180.935,367.883
180.838,365.616
180.787,363.432
180.774,361.325
180.791,359.287
180.828,357.309
180.879,355.386
180.934,353.508
180.984,351.670
181.022,349.862
181.047,348.070
181.059,346.275
181.061,344.457
181.055,342.596
181.043,340.674
181.028,338.671
181.011,336.566
180.996,334.342
180.982,331.997
180.971,329.567
180.963,327.088
180.958,324.597
180.956,322.133
180.958,319.732
180.964,317.432
180.973,315.271
180.987,313.285
181.006,311.511
181.037,309.955
181.103,308.565
181.227,307.282
181.431,306.051
181.740,304.812
182.176,303.510
182.740,302.115
183.398,300.633
184.117,299.074
184.863,297.448
185.601,295.765
186.296,294.036
186.915,292.269
187.428,290.474
187.838,288.645
188.157,286.772
188.401,284.845
188.585,282.855
188.722,280.792
188.827,278.645
188.914,276.405
188.998,274.061
189.090,271.610
189.196,269.066
189.315,266.452
189.449,263.789
189.600,261.100
189.768,258.406
189.956,255.728
190.164,253.089
190.393,250.511
190.645,248.015
190.921,245.622
191.223,243.353
191.546,241.198
191.885,239.134
192.234,237.138
192.589,235.187
192.943,233.257
193.291,231.325
193.627,229.368
193.946,227.362
194.242,225.287
194.516,223.145
194.768,220.947
194.999,218.705
195.210,216.430
195.402,214.133
195.576,211.826
195.734,209.518
195.876,207.223
196.003,204.951
196.116,202.710
196.220,200.496
196.316,198.302
196.409,196.123
196.501,193.951
196.595,191.779
196.696,189.602
196.805,187.412
196.928,185.203
197.066,182.968
197.224,180.710
197.408,178.440
197.625,176.172
197.878,173.917
198.176,171.688
198.523,169.498
198.925,167.358
199.388,165.282
199.918,163.282
200.517,161.366
201.169,159.523
201.850,157.731
202.535,155.971
203.201,154.221
203.822,152.460
204.374,150.669
204.834,148.826
205.180,146.913
205.432,144.956
205.648,143.018
205.887,141.161
206.206,139.451
206.665,137.949
207.322,136.720
208.235,135.828
209.424,135.309
210.833,135.144
212.395,135.307
214.044,135.771
215.712,136.512
217.334,137.503
218.844,138.719
220.220,140.128
221.470,141.701
222.604,143.402
223.632,145.202
224.566,147.066
225.414,148.962
226.188,150.858
226.897,152.722
227.552,154.525
228.158,156.270
228.721,157.970
229.245,159.638
229.737,161.289
230.201,162.934
230.642,164.589
231.066,166.266
231.476,167.976
231.873,169.721
232.257,171.502
232.629,173.321
232.989,175.180
233.338,177.079
233.675,179.019
234.000,181.003
234.315,183.028
234.615,185.084
234.897,187.158
235.157,189.237
235.392,191.307
235.599,193.356
235.773,195.369
235.911,197.334
236.010,199.237
236.069,201.074
236.094,202.860
236.094,204.615
236.076,206.360
236.050,208.113
236.024,209.895
236.005,211.725
236.001,213.624
236.016,215.598
236.042,217.636
236.074,219.723
236.103,221.844
236.124,223.987
236.128,226.136
236.110,228.279
236.062,230.399
235.976,232.485
235.850,234.528
235.687,236.534
235.489,238.511
235.262,240.466
235.008,242.408
234.731,244.344
234.436,246.282
234.125,248.230
233.804,250.194
233.479,252.177
233.162,254.178
232.862,256.194
232.591,258.224
232.358,260.266
232.175,262.318
232.053,264.379
232.001,266.445
232.027,268.517
232.116,270.586
232.237,272.643
232.359,274.680
232.454,276.687
232.490,278.655
232.437,280.576
232.267,282.439
231.948,284.237
231.467,285.966
230.859,287.642
230.164,289.284
229.424,290.909
228.680,292.537
227.973,294.186
227.346,295.875
226.837,297.621
226.466,299.436
226.212,301.317
226.057,303.262
225.977,305.269
225.953,307.334
225.963,309.457
225.986,311.633
226.002,313.861
225.989,316.138
225.941,318.456
225.863,320.802
225.763,323.164
225.645,325.527
225.519,327.880
225.388,330.209
225.261,332.500
225.144,334.742
225.043,336.921
224.965,339.024
224.911,341.051
224.880,343.017
224.868,344.934
224.873,346.817
224.892,348.680
224.923,350.536
224.962,352.400
225.007,354.285
225.055,356.202
225.101,358.151
225.141,360.132
225.169,362.144
225.180,364.188
225.170,366.261
225.134,368.364
225.068,370.497
224.965,372.657
224.828,374.841
224.669,377.033
224.500,379.219
224.335,381.384
224.187,383.513
224.068,385.591
223.991,387.603
223.969,389.535
224.016,391.371
224.133,393.111
224.299,394.785
224.489,396.428
224.679,398.073
224.845,399.756
224.962,401.510
225.006,403.371
224.954,405.368
224.811,407.497
224.599,409.728
224.339,412.032
224.053,414.379
223.764,416.741
223.493,419.088
223.261,421.390
223.091,423.619
223.004,425.744
223.015,427.743
223.099,429.624
223.214,431.407
223.322,433.113
223.380,434.762
223.350,436.375
223.190,437.972
222.861,439.573
222.340,441.182
221.633,442.775
220.747,444.328
219.688,445.817
218.464,447.217
217.080,448.503
215.545,449.652
213.867,450.639
212.076,451.467
210.215,452.150
208.329,452.704
206.462,453.146
204.658,453.491
202.961,453.754
201.415,453.952
200.059,454.096
198.881,454.143
197.840,454.024
196.893,453.667
196.000,453.000
