X	Y
2.812	10.742
2.840	10.729
2.868	10.713
2.897	10.694
2.926	10.672
2.954	10.648
2.982	10.622
3.008	10.596
3.033	10.569
3.055	10.542
3.075	10.516
3.093	10.491
3.108	10.467
3.120	10.442
3.131	10.417
3.141	10.392
3.148	10.364
3.155	10.336
3.160	10.304
3.165	10.271
3.168	10.235
3.171	10.198
3.173	10.159
3.175	10.118
3.175	10.077
3.175	10.035
3.174	9.992
3.172	9.950
3.170	9.908
3.167	9.866
3.164	9.825
3.160	9.784
3.155	9.743
3.151	9.703
3.146	9.663
3.141	9.622
3.136	9.582
3.131	9.541
3.127	9.499
3.123	9.456
3.119	9.413
3.116	9.369
3.114	9.324
3.112	9.278
3.111	9.232
3.110	9.186
3.110	9.140
3.111	9.094
3.113	9.049
3.115	9.005
3.118	8.962
3.122	8.920
3.126	8.880
3.131	8.842
3.137	8.805
3.143	8.770
3.150	8.736
3.156	8.703
3.162	8.672
3.168	8.640
3.173	8.609
3.176	8.579
3.178	8.548
3.179	8.516
3.179	8.485
3.178	8.453
3.176	8.421
3.174	8.388
3.172	8.355
3.170	8.322
3.169	8.288
3.168	8.253
3.169	8.218
3.170	8.183
3.172	8.148
3.174	8.112
3.177	8.076
3.180	8.040
3.183	8.004
3.185	7.968
3.187	7.932
3.188	7.896
3.188	7.860
3.188	7.825
3.187	7.789
3.186	7.753
3.185	7.718
3.183	7.682
3.181	7.645
3.180	7.608
3.179	7.571
3.178	7.533
3.178	7.494
3.178	7.455
3.179	7.415
3.181	7.374
3.183	7.333
3.186	7.292
3.189	7.250
3.192	7.209
3.196	7.167
3.201	7.125
3.206	7.084
3.211	7.043
3.217	7.001
3.223	6.960
3.229	6.920
3.235	6.878
3.241	6.837
3.247	6.796
3.252	6.754
3.257	6.711
3.261	6.668
3.265	6.625
3.267	6.580
3.268	6.535
3.269	6.489
3.269	6.443
3.268	6.396
3.267	6.350
3.267	6.304
3.266	6.259
3.266	6.215
3.267	6.172
3.268	6.130
3.271	6.090
3.275	6.052
3.281	6.016
3.288	5.982
3.296	5.950
3.304	5.920
3.313	5.890
3.320	5.861
3.327	5.832
3.333	5.804
3.336	5.774
3.338	5.744
3.337	5.714
3.335	5.684
3.331	5.654
3.328	5.626
3.323	5.599
3.320	5.574
3.316	5.552
3.314	5.532
3.313	5.514
3.313	5.496
3.314	5.477
3.316	5.455
3.318	5.429
3.322	5.399
3.326	5.365
3.331	5.327
3.336	5.288
3.342	5.246
3.348	5.203
3.354	5.159
3.361	5.115
3.367	5.071
3.373	5.029
3.379	4.987
3.385	4.947
3.391	4.909
3.396	4.871
3.401	4.833
3.405	4.795
3.410	4.757
3.414	4.718
3.417	4.677
3.421	4.634
3.424	4.589
